U+1228F	𒊏	ẓi, zzi, RA, rah2
U+121A7	𒆧	KIŠ, kiššat, kis2, kiṣ
U+121B7	𒆷	LA, ŠIKA
U+121C7	𒇇	U8, ganam4
U+121D7	𒇗	bara9, irib2
U+121E7	𒇧	pul, BUL, BUR10, NINNA2, TUKU4, bul
U+121F7	𒇷	EN3, GUB2, LE, LI
U+12108	𒄈	GIR2, ĜIR2, ĝiri2, GÍR
U+12118	𒄘	GUN, GU2, gun2, tig
U+12128	𒄨	GURUŠ
U+12138	𒄸	ḪUB2, TU11, edu
U+12148	𒅈	AR
U+12158	𒅘	naĝ, nag, nak, NAG, NAĜ, kab2, immen2, naj, na₈, na8
U+12168	𒅨	
U+12178	𒅸	kana5
U+12188	𒆈	TUKUR3, uzug5
U+12198	𒆘	ALAD, sedi
U+121A8	𒆨	AB2, KISIM5, dih3, KISIM₅
U+121B8	𒆸	GUR4, LAGAB, NIGIN2, NIĜIN2, RIN, TUKUR, bul5, kilib, buru16, ellag, hab, kur4, kir3, lugud2, girim, gir8, ri3, kil
U+121C8	𒇈	ellamkuš3
U+121D8	𒇘	
U+121E8	𒇨	
U+121F8	𒇸	LIL, kurx
U+12109	𒄉	AD2, KIŠI17, kišig2, TAB2, ul4, GIR₂@g
U+12119	𒄙	DÚR, DUR, USANX
U+12129	𒄩	ha, ḪA, KU6, gir14, ha-X
U+12139	𒄹	
U+12149	𒅉	
U+12159	𒅙	
U+12169	𒅩	
U+12179	𒅹	
U+12189	𒆉	ENMEN, SI19, immen
U+12199	𒆙	KAL×KAL, lirum7
U+121A9	𒆩	
U+121B9	𒆹	suk, AMBAR, AŠTE2, AYA4, BUGIN, BUNIN, SUG, buniĝ, bunin, ellamkuš4, umun11, šaĝar
U+121C9	𒇉	AGARINX, AĜARINX, ENGUR, NAMMA, buniĝ3, bunin3, esir2b, esir₂, lagabxhal, i8, id3, zikum
U+121D9	𒇙	bara6
U+121E9	𒇩	umun12
U+121F9	𒇹	LIMMU2
U+1210A	𒄊	GÌR, GIR3, ĜIRI3, ĝir3, huš2, ir9, šub5, pil7, šēp, NER
U+1211A	𒄚	
U+1212A	𒄪	ZUBUD, ha@t@g
U+1213A	𒄺	
U+1214A	𒅊	AGAR4, IMMA3, SE12, SIG7, ŠEX, UGARX, UGUR2, si12, sag12, samag6, agar4, sa7
U+1215A	𒅚	
U+1216A	𒅪	ibira, tibira2
U+1217A	𒅺	murgu3
U+1218A	𒆊	
U+1219A	𒆚	KAM2
U+121AA	𒆪	qú, qu, qu2, DAB5, DURU2, KU, TUKUL, TUŠ, GU5, BU₇, BU7, bed3, be5, bid3, dib2, šed6, hux, suh5, ugu4, nu10, ḳu
