status	glyphs	meaning	note	similar_in_my_dictionary
missing_attested	𓋴 𓌫 𓏏 𓂋 𓍿 𓀀 𓁐 𓆗 𓏪	(a snake)	sSmt rmT (noun) [vygus]	𓋴 𓌫 𓅓 𓂻 = lead, guide, rule, govern, show (the way), conduct (war,work), instruct (people) (line 14825) ; 𓋴 𓌫 𓅓 𓅱 𓀭 = statue, portrait, image, couterpart (line 14826)
missing_attested	𓌮 𓏏 𓀀	Slaughterer	sSmti (noun) [vygus]	
missing_attested	𓋴 𓌬 𓅱 𓀭 𓏪	images; schemes	sSmw (noun) [vygus] ~approx	𓋴 𓌬 = guidance (line 14819) ; 𓋴 𓌬 = ruler, leader (line 14832)
missing_attested	𓌭 𓏯 𓏯 𓏯 𓋁 𓏯 𓏯 𓅆	tabernacle ?	sSmw (noun) [vygus]	
missing_attested	𓌭 𓏯 𓏯 𓏯 𓋁 𓏯 𓏯 𓏯 𓀀	tabernacle ?	sSmw (noun) [vygus]	
missing_attested	𓌭 𓏯 𓏯 𓏯 𓏯 𓋀 𓏯 𓏯 𓏯	tabernacle ?	sSmw (noun) [vygus]	
missing_attested	𓌭 𓏯 𓏯 𓏯 𓏯 𓏯 𓋁 𓏯 𓏯 𓏯 𓏯 𓏯 𓅆	tabernacle ?	sSmw (noun) [vygus]	
missing_attested	𓋴 𓌬 𓅓 𓏜 𓎛 𓎱 𓃀	Festival Director	sSmw Hb (noun) [vygus]	𓋴 𓌬 𓅓 𓏜 = guidance (line 14821) ; 𓋴 𓌬 𓅓 𓏜 = statue (line 14839)
missing_attested	𓊃 𓌬 𓏲 𓂻	She who guides	sSmwt (noun) [vygus]	𓊃 𓌬 𓅓 𓂻 = lead, guide (line 12051)
missing_attested	𓊃 𓈙 𓈖 𓏏	to make an argument; to provoke an argument	sSnT (verb) [tla]	𓊃 𓈙 𓈖 𓏴 𓀜 = weave (line 11918) ; 𓊃 𓈙 𓈖 𓏴 𓍢 𓏥 = ropes, cordage (line 11919)
missing_attested	𓊃 𓈙 𓈖 𓈖 𓂙	headband	sSnn (noun) [vygus]	𓊃 𓈙 𓈖 𓏴 𓀜 = weave (line 11918) ; 𓊃 𓈙 𓈖 𓏴 𓍢 𓏥 = ropes, cordage (line 11919)
missing_attested	𓊃 𓈙 𓈖 𓏏 𓌙	papyrus stalk	sSnt (noun) [vygus]	𓊃 𓈙 𓈖 𓏴 𓀜 = weave (line 11918) ; 𓊃 𓈙 𓈖 𓏴 𓍢 𓏥 = ropes, cordage (line 11919)
missing_attested	𓊃 𓈙 𓈖 𓏏 𓌟 𓉐	papyrus pond; lotus pond	sSnt (noun) [vygus]	𓊃 𓈙 𓈖 𓏴 𓀜 = weave (line 11918) ; 𓊃 𓈙 𓈖 𓏴 𓍢 𓏥 = ropes, cordage (line 11919)
missing_attested	𓊃 𓈙 𓈖 𓏌 𓅱 𓆛 𓏥	(a fish)	sSnw (noun) [vygus]	𓊃 𓈙 𓈖 𓏴 𓀜 = weave (line 11918) ; 𓊃 𓈙 𓈖 𓏴 𓍢 𓏥 = ropes, cordage (line 11919)
missing_attested	𓊃 𓈙 𓈖 𓏭 𓆰 𓏥	(lotus shaped objects)	sSnw (noun) [vygus]	𓊃 𓈙 𓈖 𓏴 𓀜 = weave (line 11918) ; 𓊃 𓈙 𓈖 𓏴 𓍢 𓏥 = ropes, cordage (line 11919)
missing_attested	𓊃 𓈙 𓈖 𓏭 𓆹 𓆰 𓏪	lotus flowers	sSny (noun) [vygus]	𓊃 𓈙 𓈖 𓏴 𓀜 = weave (line 11918) ; 𓊃 𓈙 𓈖 𓏴 𓍢 𓏥 = ropes, cordage (line 11919)
