⪽	⪾ # SUBSET WITH DOT
⪾	⪽ # SUPERSET WITH DOT
⪿	⫀ # SUBSET WITH PLUS SIGN BELOW
⫀	⪿ # SUPERSET WITH PLUS SIGN BELOW
⫁	⫂ # SUBSET WITH MULTIPLICATION SIGN BELOW
⫂	⫁ # SUPERSET WITH MULTIPLICATION SIGN BELOW
⫃	⫄ # SUBSET OF OR EQUAL TO WITH DOT ABOVE
⫄	⫃ # SUPERSET OF OR EQUAL TO WITH DOT ABOVE
⫅	⫆ # SUBSET OF ABOVE EQUALS SIGN
⫆	⫅ # SUPERSET OF ABOVE EQUALS SIGN
⫇	⫈ # [BEST FIT] SUBSET OF ABOVE TILDE OPERATOR
⫈	⫇ # [BEST FIT] SUPERSET OF ABOVE TILDE OPERATOR
⫉	⫊ # [BEST FIT] SUBSET OF ABOVE ALMOST EQUAL TO
⫊	⫉ # [BEST FIT] SUPERSET OF ABOVE ALMOST EQUAL TO
⫋	⫌ # [BEST FIT] SUBSET OF ABOVE NOT EQUAL TO
⫌	⫋ # [BEST FIT] SUPERSET OF ABOVE NOT EQUAL TO
⫍	⫎ # SQUARE LEFT OPEN BOX OPERATOR
⫎	⫍ # SQUARE RIGHT OPEN BOX OPERATOR
⫏	⫐ # CLOSED SUBSET
⫐	⫏ # CLOSED SUPERSET
⫑	⫒ # CLOSED SUBSET OR EQUAL TO
⫒	⫑ # CLOSED SUPERSET OR EQUAL TO
⫓	⫔ # SUBSET ABOVE SUPERSET
⫔	⫓ # SUPERSET ABOVE SUBSET
⫕	⫖ # SUBSET ABOVE SUBSET
⫖	⫕ # SUPERSET ABOVE SUPERSET
⫞	⊦ # SHORT LEFT TACK
⫣	⊩ # DOUBLE VERTICAL BAR LEFT TURNSTILE
⫤	⊨ # VERTICAL BAR DOUBLE LEFT TURNSTILE
⫥	⊫ # DOUBLE VERTICAL BAR DOUBLE LEFT TURNSTILE
⫬	⫭ # DOUBLE STROKE NOT SIGN
⫭	⫬ # REVERSED DOUBLE STROKE NOT SIGN
⫮	∤ # DOES NOT DIVIDE WITH REVERSED NEGATION SLASH
⫷	⫸ # TRIPLE NESTED LESS-THAN
⫸	⫷ # TRIPLE NESTED GREATER-THAN
⫹	⫺ # DOUBLE-LINE SLANTED LESS-THAN OR EQUAL TO
⫺	⫹ # DOUBLE-LINE SLANTED GREATER-THAN OR EQUAL TO
⯾	∟ # REVERSED RIGHT ANGLE
⸂	⸃ # LEFT SUBSTITUTION BRACKET
⸃	⸂ # RIGHT SUBSTITUTION BRACKET
⸄	⸅ # LEFT DOTTED SUBSTITUTION BRACKET
⸅	⸄ # RIGHT DOTTED SUBSTITUTION BRACKET
⸉	⸊ # LEFT TRANSPOSITION BRACKET
⸊	⸉ # RIGHT TRANSPOSITION BRACKET
⸌	⸍ # LEFT RAISED OMISSION BRACKET
⸍	⸌ # RIGHT RAISED OMISSION BRACKET
⸜	⸝ # LEFT LOW PARAPHRASE BRACKET
⸝	⸜ # RIGHT LOW PARAPHRASE BRACKET
⸠	⸡ # LEFT VERTICAL BAR WITH QUILL
⸡	⸠ # RIGHT VERTICAL BAR WITH QUILL
⸢	⸣ # TOP LEFT HALF BRACKET
⸣	⸢ # TOP RIGHT HALF BRACKET
⸤	⸥ # BOTTOM LEFT HALF BRACKET
⸥	⸤ # BOTTOM RIGHT HALF BRACKET
