Σ ß 手 ŠU ,𒋗,𒋗,𒋗,𒋗,手*shǒuin/su ≠ 𒂠ŠÈ/ÉŠ take ~ 𒌆tu/cu/zu ~ su σ 𓇳? ,sHAND sind sein es se- 𓋴 causative <> 𒂠Se/eS vs Tuch! 𒌆  𒋗𒆸=∑sum,𒋗 Shu = 手 shǒu shou cheiro! HAND!     𒂠~𒍥 flour   手𒌋∑十ansehn handsome schöne Zähne,,,,,,,,,,,,,,,,,,,,,,,,,,
TÚG=TUCH! NAM2 SU 🌣,𒌆,𒌆,𒌆,𒌆,𒌨𒌆DOG!,take-took-Tuch Trag:Tracht   Kleid←cloth←closed → closet ,vs 𒆠KI geo/Kur   𒋡 𒌆𒄖 𒂵𒆥𒄣qu~go vs 𒉇NAM_2 ,<> sun Su! <> LU/ER!! 口+two,,,,,,,,,,,,,,,,,,,,,,,,,
T tišh dáš,𒁹,𒁹,𒁹,𒁹,T  𐎉 Tet  𐎫Ta 𐎬Tu,NIGIDA dash 1 !!! /// A/T?,T !!! twei,vs tum(tess) = feminin 𒁹daSH=blood/red vs dam@hebrew,𐎉 Tet ,𐎫Ta 𐎬Tu,,,,,,,,,,,,,,,,,,,,,,,
Thu šú,𒋙,𒋙,𒋙,𒋙,𒁹+𒌋 𐎘 THANNA þ Thorn,vs d Eth ð δ σ Θ θ sun zorn thunder dorn zink sink,Schutz : c^,surface,sink,raise! –,,𐎘 THANNA,þ Thurn,,,,,,,,,,,,,,,,,,,,
*Ti Di Bi,𒈦,𒈦,𒈦,𒈦,Tigris = 𒈦𒄘𒃼Tigugar <> Jaguar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U(n),𒌋,𒌋,𒌋,𒌋,*KRUH.ma ! CU ŠU ŠA ŠI 十 ! 𐎔 PHU ~ 𒑱 𐎢 U,u.= und/or!  𒌋= 𒅇<>𒌑=šam/ù~xwamn=sleep=𒅇= EYE+SHEEP!!! 𒇻 (IGI & DIB) sLIBIR = sleep! ,UT UnD con  𒌋 hole <> 𐎫TA,TUM:ten 10 𒌋𒇻<> 𒊹𒊮~𒄮~𒐼   CruMa:𓐍𓅓𓎡 Uhu  lu2-u3 = other,,𐎔 PHU ~ 𒑱,𐎢 U O,,,,,,,,,,,,,,,,,,,,,,
u/tam,𒌓,𒌓,𒌓,𒌓, Uhr / Time,AT+U = You ante-tu / Du ++  <> nim/tien𒉏?,<> TUM = Tum! / Dom, <> BABBAR : cut!  𒌣=S.M.D:Schmied! SIMUGƒ,,,,,,,,,,,,,,,,,,,,,,,,,
[W],𒑱,𒑱,𒑱,𒑱,𐎔 PHU ~ 𒑱 𐎺 VA  wound 𐀸𓏲𓍢و,: UU   *VAN 𒉼 PAN = bow! 𐎺VO.gel ,:colon:  as part of signs:  𒌓 etc,,𐎔 PHU ~ 𒑱,𐎺 VA,,,,,,,,,,,,,,,,,,,,,,,
wa vva ve pe PI 𒉿!,𒉿,𒉿,𒉿,𒉿,Ω ω 𓏌 𐎺 VA 𐎆 VO/WO 𐎻 VI 𓋹 ?,W + A (+n?)  mwa <> 𒅆 IGI EYE:SEE(äugen),PI,uuannas unas = unser [Plattdeutsch],𐎆 VO/WO,𐎻 VI 𓋹 ?,,,,,,,,,,,,,,,,,,,,,,,
y vI ?,𒄿,𒄿,𒄿,𒄿,Y 5,Y AI EYE!  pair/set(5 fingers)  AI vs IA 𒐊,,fork… ? sYm?,,,,,,,,,,,,,,,,,,,,,,,,,
