Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	
any	ein	56068	4.7487	95.96	3.9058	Determiner	54395	0.97	Determiner.Adverb.Noun	54395.1604.1
because	xx	54622	4.7374	94.30	3.8982	Conjunction	49929	0.92	Conjunction.Preposition.Noun	49929.4612.25
two		54384	4.7355	94.97	3.9013	Number	54259	1.00	Number.Noun	54259.84
should	sollt	54159	4.7337	96.91	3.9101	Verb	61902	1.00	Verb.Noun	61902.1
much	manch	49636	4.6958	95.70	3.9046	Determiner	36658	0.74	Determiner.Adverb.Conjunction	36658.12904.15
sir		49188	4.6919	61.29	3.7111	Noun	49109	1.00	Noun.Name	49109.55
maybe	xx	47249	4.6744	92.24	3.8886	Adverb	47143	1.00	Adverb.Noun	47143.2
help		46977	4.6719	92.33	3.8891	Verb	37660	0.80	Verb.Noun.Name	37660.9218.8
these		46104	4.6637	93.59	3.8949	Determiner	46049	1.00	Determiner.Noun	46049.2
god		46061	4.6633	82.74	3.8414	Name	41909	0.91	Name.Noun	41909.4036
even	eben	44672	4.6500	94.55	3.8994	Adverb	38837	0.87	Adverb.Conjunction.Verb.Adjective.Noun	38837.5601.121.67.5
night		44168	4.6451	87.99	3.8682	Noun	44121	1.00	Noun	44121
call	<<	43931	4.6428	90.08	3.8783	Verb	35593	0.81	Verb.Noun.Name	35593.8262.5
talk	<<	43605	4.6395	90.83	3.8820	Verb	38850	0.89	Verb.Noun	38850.4714
into	xx	43074	4.6342	93.90	3.8964	Preposition	43044	1.00	Preposition	43044
first	(f)erst	42869	4.6322	93.72	3.8955	Number	41523	0.97	Number.Adverb.Name.Noun	41523.1289.11.1
find		42379	4.6272	91.64	3.8858	Verb	42184	1.00	Verb.Noun.Name	42184.173.1
wait		42343	4.6268	91.91	3.8871	Verb	41615	0.99	Verb.Noun.Name	41615.528.1
put		42251	4.6258	93.47	3.8944	Verb	42186	1.00	Verb.Noun.Name	42186.17.1
great	ß	41864	4.6219	88.96	3.8729	Adjective	41101	0.98	Adjective.Adverb.Name.Noun	41101.645.65.2
