3501	匾	bian3/pian2	PLANKE	a tablet/a board with an inscription/a sign hung above a door/basket-couch in coffin	biǎn:匾:⿷匚扁 fāng biǎn							
225	变	bian4	BEND WEND	to change/to become different/to transform/to vary/rebellion	biàn:变:⿳亠⿲丿⿰丨丨丶又 tóu piě shù gǔn shù gǔn diàn zhǔ yoù							
1012	遍	bian4	PAN	everywhere/turn/all over/one time/a time	biàn:遍:⿺辶扁 chuò biǎn							
1355	辩	bian4	B2	dispute/debate/argue/discuss	biàn:辩:⿴辡讠or ⿰辛讠辛 ? yán ? ?  xīn yán xīn							
1910	辨	bian4	B2	distinguish/recognize	biàn:辨:⿲辛⿰丨丿辛 xīn shù gǔn piě xīn							
3240	辫	bian4	PLANE plait	a braid or queue/to plait	biàn:辫:⿲辛纟辛 xīn mì xīn							
271	便	bian4/pian2	PLAIN/BIEN+	ordinary/plain/convenient/handy/easy/then/so/thus/to relieve oneself/advantageous/cheap	biàn:便:⿰亻更 rén geng							
473	标	biao1	Bill / bid	sign/to mark/(outward) sign/indication/prize/award/bid/the topmost branches of a tree/surface/	biaō:标:⿰木示 mù shì							
2406	彪	biao1	paw@bear/pard!	a tiger-cat/stripes/streaks/veins	biāo:彪:⿺虎彡 hǔ shān							
2727	镖	biao1	≠beil	a throwing weapon/dart	biaō:镖:⿰钅票 jīn piaò							
4091	飙	biao1		whirlwind	biaō:飙:⿰猋风 ? fēng							
177	表	biao3	sur.face?	surface/exterior/to watch/to show/express/an example/a list or table/a meter/a watch/chart/external	biǎo:表:⿱龶𧘇 ? yī							
4237	婊	biao3		prostitute	biǎo:婊:⿰女表 nu:3 biaǒ							
3141	憋	bie1	biek back	hold in (urine)/to hold (breath)/to choke/stifle/restrain/hold back	biē:憋:⿱敝心 bì xīn							
3960	鳖	bie1		turtle	biē:鳖:⿱敝鱼 bì yú							
4308	蹩	bie2	√Bein	limp	bié:蹩:⿱敝足 bì zú							
222	别	bie2/bie4	BI2 BYE PART	leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin/contrary/difficult/awkward	bié:别:⿰另刂 lìng dāo							
3812	瘪	bie3		deflated/shriveled/sunken/empty	biě:瘪:⿸疒⿱自仓 nè zì cāng							
1534	宾	bin1	BEI…	visitor/guest	bīn:宾:⿱宀兵 mián bīng							
2442	斌	bin1	b2?	ornamental/refined	bīn:斌:⿰文武 wén wǔ							
2474	滨	bin1	pan 片 bank 票	shore/beach/coast/bank	bīn:滨:⿰氵宾 shui bīn							
2736	彬	bin1	BIEN, pin	ornamental/refined	bīn:彬:⿰林彡 lín shān							
3153	濒	bin1	bei:nah	near	bīn:濒:⿰氵频 shui pín							
3795	缤	bin1	B2 –	confusion/helter-skelter/mixed colors	bīn:缤:⿰纟宾 mì bīn							
4036	槟	bin1/bing1		areca/the areca nut palm/areca	bīn:槟:⿰木宾 mù bīn							
3749	鬓	bin4	Bind-hair	temples/hair on the temples	bìn:鬓:⿱髟宾 biāo bīn	Schläfe  						
3965	殡	bin4	Bye / Binde / beende	a funeral/to encoffin a corpse/to carry to burial	bìn:殡:⿰歹宾 daǐ bīn							
398	兵	bing1	Whar-binger	soldiers/a force/an army/weapons/arms/military/warlike	bīng:兵:⿱丘八 qiū bā							
1070	冰	bing1	冰 ㅃ ㅂ ㅍ π 𓈞 𓈟	ice	bīng:冰:⿰冫水 bīng shuǐ							
2241	柄	bing3	ba 丙 bǐng	authority/handle/hilt	bǐng:柄:⿰木丙 mù bǐng							
2359	饼	bing3	< 	round flat cake/cookie/cake/pastry	bǐng:饼:⿰饣并 shí bìng							
2645	丙	bing3	丙 3→ 2 丙丙 liang	the third of the ten heavenly stems/the third position/third/number three	bǐng:丙:⿱一内 yī neì							
2809	秉	bing3	!	(surname)/to grasp/hold/maintain								
2945	禀	bing3		natural property or endowment/report to (a superior)	bǐng:禀:⿱㐭示 ? shì							
3227	炳	bing3	BING 丙 bling!	bright/brilliant/luminous	bǐng:炳:⿰火丙 huǒ bǐng							
1891	屏	bing3/ping2	@bin 	get rid of/put aside/reject/keep control/hold back/(standing) screen 平	píng:屏:⿸尸并 shī bìng	Peng :)						
141	并	bing4	bi.ang 2*1 both bindge	and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge/amalgamate/combine/and/also/together with	bīng:并:⿱丷开,⿱䒑廾 bā kaī yì cǎo gǒng							
427	病	bing4	binge soak~sick bane	ailment/sickness/illness/disease/fall ill/sick/defect	bìng:病:⿸疒丙 nè bǐng							
3791	摒	bing4	bring 病 bing 冰 (sick/cold)	arrange/drive off/expel	bìng:摒:⿰扌屏 shǒu bǐng							
4244	啵	bo			bō:啵:⿰口波 koǔ bō							
1979	卜	bo/bu3	卜	turnip/to divine/foretell	bǔ:卜:⿰丨丶 shù gǔn diàn zhǔ 							
664	波	bo1	BORA buran q.e.d.	storm/surge/wave/ripple/	bō:波:⿰氵皮 shui pí							
1275	播	bo1	bow?	sow/scatter/spread/broadcast	播:播:⿰扌番 shǒu fān							
1769	玻	bo1	bottle	glass	bō:玻:⿰𤣩皮 yù pí							
1807	拨	bo1	Poke push	to push aside/to appropriate (money)/to move/to set aside/group/batch/to poke/to stir	bō:拨:⿰扌发 shǒu fā							
3584	钵	bo1	bowl	alms bowl/small earthenware basin	bō:钵:⿰钅本 jīn běn							
1959	剥	bo1/bao1	bauch peel ~	peel/to skin	bō:剥:⿰录刂 lù dāo							
821	伯	bo2	BO BRO	'father''s elder brother/senior/paternal elder uncle/eldest of brothers/respectful form of address'	bó:伯:⿰亻白 rén baí							
965	博	bo2	BUY 贝 币 PAN	rich/extensive/ample/obtain/aim/to win/to get/rich/plentiful/to gamble	bó:博:⿰十尃 shí bo/fu							
1533	勃	bo2	BUY 贝	flourishing/prosperous/suddenly/abruptly	bó:勃:⿰孛力 beì/bó lì							
2022	驳	bo2	bunt! B2 (dis)pute	parti-colored/dispute/argue/contradict/refute/tranship	bó:驳:⿰马爻 mǎ yáo							
2043	泊	bo2	To boat 	to anchor/touch at/to moor	bó:泊:⿰氵白 shui baí							
2175	脖	bo2	bow:neck	neck	bó:脖:⿰月孛 yuè beì/bó							
2318	舶	bo2	BOAT (white sail)	sea-going vessels/ship	bó:舶:⿰舟白 zhoū baí							
2372	搏	bo2	Box ~ fight	fight/combat/seize	bó:搏:⿰扌尃 shǒu bo/fu							
2440	膊	bo2	Bow! <> power!	shoulder/upper arm	bó:膊:⿰月尃 yuè bo/fu							
3682	帛	bo2	wool!	silk	bó:帛:⿱白巾 baí jīn							
