#,S,phon      ,,meaning,,
304,?,se4/shai3,SHINE SHADE,"color/look/appearance, color/dice",,
305,?,lu4,RUE,(surname)/road/path/way,,
306,?,ji4,THINK,to remember/to note/mark/sign/to record,,
307,?,nan2,? ? ®,south,difficult man ? mandarin?,
308,?,pin3,bins ?,conduct/grade/thing/product/good,,
309,?,zhu4,ZOO ? sh?ng live ?  ,to live/to dwell/to reside/to stop,,
310,?,gao4,GUELLE! <<,to tell/to inform/to say,,
311,?,lei4,LIKE 2lin!,kind/type/class/category/similar/like/to resemble,,
312,?,qiu2,QUERY cherche see,to seek/to look for/to request/to demand/to beseech,,
313,?,ju1/ju4,YUD yãd,"sickness of hand, act in accordance with/seize, according to/to act in accordance with/to depend on/to seize/to occupy",,
314,?,cheng2,KING ? cháng ,rule/order/regulations/formula/journey/procedure/sequence/a surname,? chang2/zhang3 king kong = chief/long,
315,?,bei3,BACK BAI ? white,north,,
316,?,bian1,BEI(nahe) BOUND2,Near-by/side/boundary/edge/margin/border,,
317,?,si3,SIECH,to die/inpassable/uncrossable/inflexible/rigid,,
318,?,zhang1,KING ? cháng ? k?i ,(a measure word)/(a surname)/open up,,
319,?,gai1,cei,that/the above-mentioned/most likely/to deserve/should/ought to/owe,,
320,?,jiao1,JOIN ? YUAN ¥,to deliver/to turn over/to make friends/to intersect (lines)/to pay (money),,
321,?,gui1,GUIDE < ? good Gauvi~Cowie=Buyuan ?,compass/rule,,
322,?,wan4,PAN ? ONE ,Wan (surname)/ten thousand/a great number,,
323,?,qu3,CHOOSE < ZIEH,to take/to get/to choose/to fetch,,
