614	BACK (DIRECTION)	сюк	ɕʊk
615	DOWN OR BELOW	хытка	xɨtka
616	DOWN	хыта	xɨta
617	ABOVE	тоʼй	tɔʔj
618	UP	төся	tœɕa
619	EVERYWHERE	бесьтий баʼӈ	bʲɛɕcij baʔŋ
620	NOT	атнь	atɲ
621	A LITTLE	бәнь онь	bəɲ ɔɲ
623	VERY	аряӈ	arʲaŋ
624	SO (IN THIS WAY)	тоʼн	tɔʔn
625	STILL	хы	xɨ
626	ONLY	эг	ɛɡ
627	ALREADY	ӄөт	qœt
628	AGAIN	ха	xa
629	IN VAIN	дэльтан	dɛʎtan
630	IN FRONT OF	-купка	kʊpka
631	BEHIND	хитка	çitka
632	BELOW OR UNDER	-хытка	xɨtka
633	THROUGH	тат	tat
634	NEXT TO	итль	jitʎ
635	BETWEEN	бальга	baʎɡa
636	BECAUSE OF	-догот	dɔɡɔt
637	THIS	ки	kʲi
640	I	ат	at
641	THOU	у	ʊ
642	HE OR SHE OR IT	бу	bʊ
643	WE	әт	ət
644	YOU	әк	ək
645	THEY	буӈ	bʊŋ
646	WHAT	аксь	akɕ
647	WHO	аня	aɲa
648	WHERE	бире	bʲirʲɛ
649	WHITHER	билесь	bʲiʎɛɕ
650	HOW	биля	bʲiʎa
651	WHY	аксьдиӈт	akɕɟiŋt
652	HOW MUCH	анун	anʊn
653	ONE	ӄусь	qʊɕ
654	TWO	ын	ɨn
655	THREE	доӈ	dɔŋ
656	FOUR	сик	ɕik
657	FIVE	ӄак	qak
658	SIX	а	a
660	EIGHT	ынам бәньсяӈ ӄөсь	ɨnam bəɲɕaŋ qœɕ
661	NINE	ӄусям бәньсяӈ ӄесь	qʊɕam bəɲɕaŋ qʲɛɕ
662	TEN	ӄө	qœ
663	ELEVEN	ӄусям ъгам ӄөсь	qʊɕam ʌɡam qœɕ
664	TWELVE	ыням ъгам ӄөсь	ɨɲam ʌɡam qœɕ
665	TWENTY	эʼк	ɛʔk
666	THIRTY	доӈась	dɔŋaɕ
667	FORTY	сёльсь	ɕɔʎɕ
668	FIFTY	ӄолепкись	qɔʎɛpkʲiɕ
669	SIXTY	а көсь	a kœɕ
673	HUNDRED	киʼ	kʲiʔ
674	THOUSAND	тысся	tɨsːʲa
675	AND	и	ji
676	OR	или	jiʎi
677	STAND	инь	jiɲ
678	SIT	уӈ	ʊŋ
679	LIE (REST)	дитагот	ɟitaɡɔt
680	HANG	аӈгаптэ	aŋɡaptɛ
681	BECOME	батаӄ	bataq
682	HAPPEN	аваӷан	avaɣan
684	CEASE	бимбаӷут	bʲimbaɣʊt
685	CHANGE (BECOME DIFFERENT)	ӄавит	qavʲit
687	SET (HEAVENLY BODIES)	хитсут	çitsʊt
688	SHINE	къней	kʌɲɛj
689	THUNDER (VERB)	дээсигынь	dɛːɕiɡɨɲ
690	BLOW (OF WIND)	биӈсявей	bʲiŋɕavʲɛj
691	FLOW (OF RIVER)	сенней	ɕɛnːʲɛj
692	FLOW	биӈсяӷынь	bʲiŋɕaɣɨɲ
696	FALL	дъӄ	dʌq
697	BURNING	бокляӈ	bɔkʎaŋ
699	RAIN (RAINING)	улеттэ	ʊʎɛtːɛ
700	FREEZE	тъъль	tʌːʎ
703	DRY UP	тоӷоиӈ	tɔɣɔʲiŋ
