Nr	english	normed cuneiform 	word / syllables		PIE
4.860 	cure, heal 	𒋛𒀉𒋾;𒋛𒀉𒈨	si-it-ti; si-it-me	ok?	soothe
4.880 	medicine, drug 	𒋡𒁍𒌨	qa-pu-ur	<<<++	𒋡𒁍𒌨 qapur 𓊃 𓊪 𓊗 •ćapur
5.120 	food 	𒀊𒁁𒁁	ab-be-be	ok!?	"abbad² a'food, fodder <> bebe ""drink"" speise"
5.230 	roast, fry 	𒆪𒊏𒀜;𒆪𒊏𒀝	kura-; ku-ra-at; ku-ra-ak	++	𓈎 𓂋 𓂋 𓊮 | cook | gar- cure@Walloon qur@Thai គ្រូ grū
5.340 	pitcher, jug 	𒉿𒋾	piti; pi-ti	++	pot / pitcher
5.370 	spoon 	𒆠?𒌓	ki-mal-tam	ok?	চামচ camôc; ḵāšūʾa-maʿláʾa™ <> camel-toe? <> джэмышх
5.380 	knife (2) 	𒁺𒋗𒌝𐎹;𒁺𒅆𒌝;𒁺𒅆𒌝𒅕𒊏	du-šu-um-ya; du-ši-um; du-ši-um-ir-ra	++++	𓂧 𓋴 𓌪 du-ši-um 𒁺𒅆𒌝 du-igi-um duigium Degen ☑ Degenᵐʳ / dagger <> damask
5.510 	bread 	𒅆𒅁𒊒𒌝;𒅆𒅁𒊑𒌝	ši-ip-ru-um; ši-ip-ri-um	<<<	Zubrot chleba ҫӑкӑр śăk̬ărᵘᵐ sugers قرص‎ gərṣ  اغروم‎ ˢaḡrum ⴰⵖⵔⵓⵎ 𒃻 superum < turpan 𓏏 𓏐 𓏳 𓏥   <> صمّون‎ ṣammūn اغروم‎ aḡrum خُبز‎ ḵubuz •cubrus <> tarıg σῖτος sîtos 𐎒𐎒𐎆 ssw 
5.550 	meal, flour 	𒂊𒌌;𒌋𒈠𒈠	e-ul; u-ma-ma	ok?	ma.eul meal Gemahlen
5.710 	fruit 	𒍦𒁀	zib-ba	++?	 𓂧 𓄿 𓃀 𓆳 Traube 𒍦𒁀 the.berry
