𐀆	-de	-δε	de	allative/demonstrative
𐀁𐀳𐀺𐀐𐀩𐀸𐀂𐀍	e-te-wo-ke-re-we-i-jo	ΕτεFoκλέ Fειος (>Ετεόκλιος)	Eteokleus fils	‘son of Eteokleus’
𐀁𐀴𐀸	e-ti-we	 (e-ti-)Fεν		provided with ‘e-ti?’
𐀁𐀵𐀫𐀣𐀲	e-to-ro-qa-ta	εντροπάται (>τροπωτήρ)		oar-thongs
𐀁𐀵𐀺𐀒	e-to-wo-ko	εντοσFοργοί	ento-forgoi	‘inside workers’
𐀁𐀄𐀆𐀸𐀫	e-u-de-we-ro	ΕυδείFελος		place name
𐀁𐀄𐀐𐀵	e-u-ke-to	εύχετοι	'(ge)wish''ta'	he/she wishes
𐀁𐀄𐀐𐀵𐀤	e-u-ke-to-qe	εύχετοι	gewünschtes	he/she wishes
𐀁𐀄𐀲𐀩𐀺𐀺𐀺	e-u-ta-re-wowo-wo	ΕυθαλέFοςFόρFος	Eutare vorvos	place name  (see also ‘vorvos’)
𐀁𐀸𐀟𐀮𐀰𐀕𐀙	e-we-pe-se-so-me-na	εFεψεσόμενα (>ευτρόσσεσθαι)		‘ (things) to be returned’
𐀁𐀹𐀪𐀡	e-wi-ri-po	ΕFρίπως (>Εύριπος)	≈ Europe?	place name
𐀁𐀹𐀱𐁙𐀒	e-wi-su-*79-ko	εFισύ (ζυ;)ρκος	?	decorative motif (‘with deer on bothsides?’)
𐀁𐀹𐀱𐀿𐀒	e-wi-su-zo-ko	εFισύζορκος		decorative motif (‘with deer on bothsides?’)
𐀁𐀹𐀲𐀍	e-wi-ta-jo	EFιταίος	Eviteus	ethnic name of ‘Eviteus’
𐀁𐀹𐀳𐀄	e-wi-te-u	EFιτεύς		place name
𐀁𐀹𐀳𐀸	e-wi-te-we	EFιτέFει		place name
𐀁𐀹𐀳𐀹𐀍	e-wi-te-wi-jo	EFιτέFιος	Eviteus 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Eviteus’
𐀂𐀊𐀳	i-ja-te	ιάτερ	psych-iatry	doctor/curator
𐀂𐀁𐀩𐀄	i-e-re-u	ιερεύς	hiero	priest
𐀂𐀋𐀩𐀄	i-je-re-u	ιερεύς	ʰiᵍ-je-re-u 𓎛 𓂓 𓄿 𓀁 𓏪 𓋾	priest
𐀂𐀋𐀩𐀊	i-je-re-ja	ιέρεια	Hexerin	priestess
𐀂𐀋𐀩𐀹𐀍	i-je-re-wi-jo	ιερέFιος		 (someone)belonging to the priesthood
𐀂𐀋𐀩𐀺	i-je-re-wo	ιερήFος		priest
𐀂𐀋𐀫	i-je-ro	ιερός	ʰi-je-ro hieró	sacred, holly
𐀂𐀋𐀫	i-je-ro	ιερός	ʰiᵍ-je-ro hágio	sacred, holy
𐀂𐀍	i-jo	ιός (>υιός, γιός)	ὑγιός hugiós hiljiu fils Fειος	son
𐀂𐀍	i-jo	ιός (>υιός, γιός)	huiós	son
𐀂𐀍	i-jo	ιός (>υιός, γιός)	'iʰ-jo	iho '	son
𐀂𐀍𐀤	i-jo-qe	ιός (>υιός, γιός)		son
𐀂𐀋𐀸	i-je-we	ιεFεί		son
𐀂𐀋𐀵	i-je-to	ίεντοι		delivered  (also with the religious meaning)
𐀂𐀋𐀵𐀤	i-je-to-qe	ίεντοι		delivered  (also with the religious meaning)
𐀂𐀍𐀳	iᵍ-jo-te	ιόντες		 (they who are)coming
𐀂𐀐𐀄	iᵍ-ke-u	ικεύς		 (>ικέτης=suppliant)
𐀂𐀟𐀕𐀆𐀊	ᵍi-pe-me-de-ja	Ιφεμέδεια (>Ιφιμήδεια)	Hyphe Gyphe 𓅐 Media 𓎛 𓂓 𓄿 𓀁 𓏪 𓋾	goddess’s name
𐀂𐀟𐀕𐀆𐀊𐀤	ᵍi-pe-me-de-ja-qe	Ιφεμέδεια (>Ιφιμήδεια)	Iphemedeia <<<	goddess’s name
𐀂𐀟𐀕𐀆𐀊𐀍	ᵍi-pe-me-de-ja-jo	Ιφεμεδειαίον		sanctuary of ‘Iphemedeia’
𐀂𐀡𐀡𐀦𐀂*𐀂 𐀦𐀡𐀦𐀂?	i-po-po-qo-i*i- qo-po-qo-i?	ιπ (π)οπόποι (>ιπποκόμος)	hippo-	horse- grooms (problematic orthography)
𐀂𐀥𐀊	i-qi-ja	ιπ (π)ία	@ equus?	chariot
𐀂𐀦𐀁𐀤	i-qo-e-qe	ιπ (π)ο (e-qe)	hocker @ Höcker?	saddle?
𐀏𐀶𐀩𐀹𐀊	ka-tu-re-wi-ja	κανθυλήFιαι		saddle- bags
𐀂𐀳𐀊𐀃	ᵍi-te-ja-o	ιθειάων  (ιθείαι)	𒆤 KIT	weavers
𐀂𐀳𐀄	ᵍi-te-u	ιθεύς (>ιθύνω)	𒆤 KIT kitter	weavers
𐀂𐀵𐀸𐀭	ᵍi-to-we-sa	 (i-to) Fεσσα		'having / making ''i-to?’'
𐀍	jo-	ως  (>όπως)	Ja, 	introductory particle  (see also ‘o-’)
𐀍𐀈𐀰𐀯	jo-do-so-si	ως  (>όπως)	'Ja das is'' so ; ja da so sei …'	introductory particle  (see also ‘o-’)
𐀏𐀅𐀖𐀊	ka-da-mi-ja	καρδαμία (>κάρδαμον)	≠ cardamon?	 (some product related to) gardencress
𐀏𐀒	ka-ko	χαλκός	chalkos  χαλ •caˡpher full reading	copper
𐀏𐀐𐀊𐀠	ka-ke-ja-pi	'χαλ''κείαφι '	'ka''copper 𒆬 KU₃''copper '	copper
𐀏𐀑𐀊	ka-ki-jaⁿ	χαλκία	kupfern	made of copper
𐀏𐀐𐀊	ka-ke-jaⁿ	χαλκίος		made of copper
𐀏𐀐𐀄	ka-ke-u	χαλκεύς		copper worker
𐀏𐀐𐀄𐀯	ka-ke-u-si	χαλκεύσι		copper worker
𐀏𐀐𐀸	ka-ke-we	χαλκήFες		coppersmiths
𐀏𐀔	ka-ma	κάμα	Krume Kammer?	unit of land
𐀏𐀔𐀁𐀄	ka-ma-e-u	καμαεύς		owner of a ‘kama’
𐀏𐀙𐀒	ka-na-ko	κνάκος (>κνήκος)	Knokus ≈ Krokus	safflower  (plant)
𐀏𐀙𐀟𐀄	ka-na-pe-u	κναπεύς (κνάπτω)	Knappe	occupation  (one who cards cloth or wool)
