Rank 	Rank 	Character 	Character 	Romanizations 	Notes 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Notes 	Notes 	Notes 
91	86	萬 	万 	Wàn 	Ten thousand 	Wan4 	Maan6 	Man 	Meng  	Bān (X, Z, K, T)Bàn (Q) 	Buang 	Van 	WanMan 	Màn 	 	Viet. 	Vạn 	 	 	Ten thousand 
92	89	錢 	钱 	Qián 	Money 	Chien2 	Cin4 	Chin 	Chee 	Chîⁿ 	Chee 	Tshièn 	Chen 	Chhién 	 	Viet. 	Tiền 	 	 	Money 
93	  	嚴 	严 	Yán 	Tight, strict 	Yen2 	Jim4 	Yim 	Im 	Giâm 	Ngiam 	Ngiàm 	Yam 	Ngiēm 	 	Viet. 	Nghiêm 	 	 	Tight, strict 
94	  	覃 	覃 	Tán / Qín 	Extensive, spread to 	Tan2 	Taam4 	Tam 	 	Thâm 	  	Thàm 	  	Thóm 	 	Viet. 	Tán 	*N-r[a]mʔ 	YemX 	Extensive, spread to 
95	95	武 	武 	Wǔ 	Military 	Wu3 	Mou5 	Mo 	Mou 	Bú 	Boo 	Vú 	MooWoo 	Mú 	 	Viet. 	VũVõ 	*maʔ 	MjuX 	Military 
96	54	戴 	戴 	Dài 	Support, wear 	Tai4 	Daai3 	Tai 	 	Tè (X, Z, K, T)Tèr (Q) 	Tai 	Tai 	Tai 	Thài 	 	Viet. 	ĐáiĐới 	*Cə.tˤək-s 	TojH 	Support, wear 
97	  	莫 	莫 	Mò 	Not 	Mo4 	Mok6  	Mok 	 	Bo̍h (K, T)Bo̍k 	Mok 	Mo̍k 	Mok 	Mok 	 	Viet. 	Mạc 	*mˤak 	Mak 	Not 
98	72	孔 	孔 	Kǒng 	Hole, opening 	Kung3 	Hung2 	Hung 	 	Khóng 	KongKhong 	Khúng 	KoongKhoong 	Khúng 	 	Viet. 	Khổng 	*kʰˤoŋʔ 	KhuwngX 	Hole, opening 
99	  	向 	向 	Xiàng 	Direction 	Hsiang4 	Heung3  	Heung  	 	Hiòng (X, Q, K, T)Hiàng (Z) 	Hiang 	Hióng 	 	Hiòng 	 	Viet. 	Hưởng 	*qʰaŋ-s*n̥aŋʔ-s 	XjangH 	Direction 
100	90	湯 	汤 	Tāng 	Boiling water, soup 	Tang1 	Tong1  	Tong 	 	Thng 	TngTeung 	Thông 	ThongTong 	Thong 	 	Viet. 	Thang 	*l̥ˤaŋ 	Thang 	Boiling water, soup 
  	75	康 	康 	Kāng 	Healthy 	Kang1 	Hong1  	Hong 	 	Khng 	KangKhang 	Không 	KhongKong 	Khong 	 	Viet. 	Khang 	*k-l̥ˤaŋ 	Khang 	Healthy 
