just!,Gratgang(冈) grad geschafft,刚 gāng !,,,auf Messers schneide! Eingang beim Gong!
change/ further,Gang der Zeit,更 gèng,,,五 更 [五 更] wǔ gēng 5*2=Zehn Stunden Wachen <> noon
public/ palace …,Kyr Gong 工 ,宮 gōng,,,
first (Fürst sovereign),king-gong,公 gōng,,<> 八 bā bull,tiān 天公 [天公] gōng空 = Himmel <> King=Gong=Sky=God=Theis 大da太tài  𓏙DEI TEI 𓌅 帝 Teis 𓇽DU.AN天 tiān
(con-) together,going to 宮 gōng 工 ,共 gòng,,con-fess,gone->come
hook ✓,[✓] OK ‘key goud go! ☑good,勾 gōu,goud,,-> kuck! gut!   GO! -> buy
good enough,go! ☑good,夠 gòu ,,还 可以 háikěyǐ=okey,
fruit / result,result [✓]good 勾 gōu=gut,果 guǒ
,,国guo land geo 古 gǔ,
hard/ fest,gut,固 gù,,,
buy/ accept/ …,gut! go! kaufen,购 gòu 沽 gū 股 rùgǔ ,,,买 [買] mǎi   收受 [收受] shōushòu = akzeptieren (Handschlag)
good old gone days,ago/ geo/ger->hier,古 gǔ,♁ geo,国guo land gau,Gaia ♁ geo hiero… ! Gudea vs ⼟ tu ㊏ ⏚ ☷ ta ㆞地dì也 🜃 🌍🌏🌎
Getreide ,gǔerste ,谷 gǔ ,,,
gorge (valley),gǔorge,谷 gǔ ,,,
gorge (valley),Gautal,谷 gǔ   沟 gōu,geurge?  ♁ geo(r),国國 guó,valley -> Willy/ viele Völker?
good? estimate,♁ geo-mete vs ♀,估 gū,,,估计 [估計] gūjì  度 [度] duó duoshao
measure make-sure,messen,目测 mùcè,,,<> 掂 diān mit den Händen schätzen vs mit bloßem Auge schätzen 
sin,Niet nie nicht! Sünde!,孽 niè !,,,
blacken,negro noir(verb),涅 niè,,,嚙 niè nagen  鑷 niè nehmen mit Pinzette
,,,,,
,,,,,
Geiß/ Lamb,goat ♀ ankett,羔羊 gāoyáng ,,𓋩𓃶𓃙𓋹单阳山闪,gute schöne Jana
,,⼾ door,,,
Stern [ste.an],*,大,AN,𓇼 DU.AN  (Gardinger N14),* Dingir   Ahn Anka/ Yian/ Dian/ Vian      𓊨st+an=stan=stern
