Nr	english	word / syllables	PIE	normed cuneiform
17.450 	need, necessity 	me-en		
17.510 	and 	ayak; a-ak; ya-ak		
17.520 	because 	appa; ap-pa		
17.530 	if 	an-ka; an-qa		
17.560 	no, negative 	in-gi; in-na; im-ma; in-ni		
17.610 	how? 	ap-pa		
17.640 	what? 	appa; ap-pa		
17.660 	where? 	mur; mu-ur		
17.670 	which? 	akka; ag-ga; ak-ka; ak-qa		
18.210 	speak, talk 	turi; turu-; tu-ru-nu-un-ki; tu-ru-h; tur-ri-qa		
18.220 	say 	tiri-; turu-; ti-ri-in-ri; ti-ri; tu-ru-uk; tu-ru-un		
18.260 	word 	šukkit; šu-uk-ki-it		
18.280 	name 	hiš; hi-iš		
18.360 	promise 	kulla-; ku-ul-la-h		
18.410 	call (=summon) 	kulla-; ku-ul-la-h; ku-ul-la-hu		
18.510 	write 	dallu-; tallu-; ta-al-lu-h; da-al-lu-ha; ta-al-lu-h-šu		
18.520 	read 	bera-; pera-; be-ra-an; be-ip-ra-an-ti; be-ip-rák		
19.110 	country 	hal; ha-al		
19.150 	city, town 	a-al		
19.210 	people (populace) 	taš-šu-up; taš-šu-íp; hu-úr-du		
19.230 	tribe, clan 	ah-pi; a-h-pi		
19.320 	king, ruler 	sunki; zunki; su-gìr; su-kip; su-un-gìr; su-un-ki-ir; su-un-ki-ip; su-un-ki-kip		
19.410 	master 	ðimpti; si-im-it; te-im-ti; te-ip-ti; mu-uk-ti		
19.420 	slave 	li-ba-um-me; šá-u-lu-be		
19.430 	servant 	liba-; li-ba-ir		
19.440 	freeman 	šalu.r; šá-lu-ur		
19.450 	command, order 	me-el; gi-il; šera-; še-ra-h; še-ra-h-ši		
19.510 	friend, companion 	duk-ti-ir; kán-ir-ra		
19.520 	enemy 	beti; bi-ti-ir; pi-ti-ir; be-ti; be-it-ra		
19.580 	help, aid 	ta-; taš; táh-ha-an-ta; táh-ha-an-te		
20.110 	fight (vb) 	be-ut		
20.140 	peace 	gugu; gu-gu		
20.150 	army 	hi-it		
20.210 	weapons, arms 	ul-ki-na		
20.220 	club 	šá-li-mi		
20.240 	bow 	qa-am-ban		
