folio	side	line	text
15	front	5	qotchy.rdaiin.cthy.dy
15	front	6	dchy.kosaiin.okear
15	front	7	daiin.shkaiin.cthy.<->sho.keocthy
15	front	8	shocthy.toldain.ctholy
15	front	9	octhain.qokaiin.chos.<->odaiin.cthl,s.y
15	front	10	ychain.ch{ckhh}y.okshy.<->saiiin.dolchds
15	front	11	okaiin.otaiin.chl.sy.<->chor.choross
15	front	12	qotor.shor.tcheor.chy.<->cthaiin.<->shan
15	front	13	ykshol.dor.sheey.cthy.dain.<->sky.<->shor,shoty
15	front	14	otcho.kchy.chol.daiin.{ith}ar.<->ytol.dor.dom
15	front	15	qotchor.chaiin.chy
15	back	1	poror.orshy.choiin.dtchan.opchordy
15	back	2	@138;chor.or.oro.r,aiin.cthy.[?:t]ain,dar
15	back	3	cthor.daiin.qokor.okeor.okaiin
15	back	4	doiin.choky.shol.qoky.qotchod
15	back	5	otchor.chor.chor.ytchor.cthy.s
15	back	6	qotchey.choty.kaiin.otchy.r.aiin
15	back	7	{co}y.cho[iin:iir].sho.[?:s].chy.s.chy.tor.ols
15	back	8	ytchor.chor.ol.oiin.oty.shol.daiin
15	back	9	otchol,octhol.chol.chol.chody.kan
15	back	10	sor.chor.cthoiin.cthy.qokaiin
15	back	11	sol,oiin.cheor.chol.daiin.cthy
15	back	12	daiin.cthor.chol.chor<$>
16	front	1	pocheody.qopchey.sykaiin.opchydaiin.dy.<->chor.orom
16	front	2	ychykchy.otey<!l to e corr>.kol.shor.ody.otody.qoy.<->oeesordy
16	front	3	ydor.sheal.okchy.qoy
16	front	4	<!centred>dainod.ychealod<$>
16	front	5	tchor.chor.chs.y,kch.shocthy.opchy.ty,ky
16	front	6	oshaiin.dyky.oeees.deeeod.aiin.d,toaiin
16	front	7	daiin.dalchy.dyky.schy.s,aiin.doal.qoky
16	front	8	shotchy.ydain.yky.shody.otol.daiin
16	front	9	saiin.ytaiin<$>
16	front	10	toror.dal[y:o],dal.opchy,fchol.ypcho{cfy}.okal
16	front	11	sokchy.qokol.choty.okchy.cthy.chy,kchy
16	front	12	dy,cho,kchy.shcthy.shtshy.sho.tchokyd
16	front	13	qok[{oh}:ch]or.dl.dy.shey<$>
16	back	1	pchroiin.otchor.chpchol.chpchey.s,pcho{ct}y
16	back	2	ytchor.y.ky,chokchy.qokchocthor.shory
16	back	3	ykchy.dy.choy.qoty.chy,kchy.koshet
16	back	4	dchol.chcthody.cphod.chotol.dal
16	back	5	ytchy.chyty.chor.chol.ytchy.dan
16	back	6	sor.ch
16	back	7	pchocthy.chypchy.qotchy.ch{cfhh}y.sy
16	back	8	daiin.chol.y.daiin.chcthy.qot,char.chor.sholo
16	back	9	dshy.okaiin.okaiin.chol.chor.cthor.ty.chody
16	back	10	qokchy.chy,dy.ykchy.chckhy.otain.cthor.[cth:{ith}]y
16	back	11	okytaiin.chkchy.saiin
16	back	12	daiin.yky.otor.chody
16	back	13	sokar.oaorar<$>
17	front	1	fshody.daram.ydar,chog.opydy.ypod.chop.otchy.dody.oldckhy
17	front	2	ydair.choky.okshy.qodar.ckhody.dor.otchol.qodcthy.ods
