chain_length	codes	glyphs
3	M370+M046+M370 M288 M124/M242/M047/M218/M388	𜊜(M370+M046+M370)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
3	M298 M376 M203	𜆁(M298)  𜊽(M376)  𛾳(M203)
3	M325/M387 M263/M002/M036 M387/M325	𜈒/𜋾(M325/M387)  𜃁/𛴾/𛶎(M263/M002/M036)  𜋾/𜈒(M387/M325)
3	M295 M387/M325 M263/M002/M036	𜅘(M295)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
3	M195+M057/M106+M288/M340/M038/M391 M288 M124/M242/M047/M218/M388	𛾥/𛺄𜄱/𜈱/𛶡/𜌗(M195+M057/M106+M288/M340/M038/M391)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
3	M332/M312 M124/M242/M047/M218/M388 M288	𜈫/𜇇(M332/M312)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)  𜄱(M288)
3	M242/M047/M218/M388/M124 M288 M124/M242/M047/M218/M388	𜀺/𛷊/𛿺/𜌓/𛻃(M242/M047/M218/M388/M124)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
3	M314 M387/M325 M263/M002/M036	𜇏(M314)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
3	M240 M387/M325 M263/M002/M036	𜀰(M240)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
3	M223 M288 M124/M242/M047/M218/M388	𜀕(M223)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
3	M010 M387/M325 M263/M002/M036	𛵜(M010)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
3	M002/M036/M263 M387/M325 M263/M002/M036	𛴾/𛶎/𜃁(M002/M036/M263)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
3	M036+N30C/M278/M069 M387/M325 M263/M002/M036	𛶒/𜄉/𛸠(M036+N30C/M278/M069)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
3	M379 M387/M325 M263/M002/M036	𜋊(M379)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
3	M047/M242/M218/M388/M124 M288 M124/M242/M047/M218/M388	𛷊/𜀺/𛿺/𜌓/𛻃(M047/M242/M218/M388/M124)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
3	M050 M387/M325 M263/M002/M036	𛷙(M050)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
3	M264 M263/M002/M036 M387/M325	𜃋(M264)  𜃁/𛴾/𛶎(M263/M002/M036)  𜋾/𜈒(M387/M325)
3	M259/M072 M387/M325 M263/M002/M036	𜂣/𛸧(M259/M072)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
3	M312/M332 M124/M242/M047/M218/M388 M288	𜇇/𜈫(M312/M332)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)  𜄱(M288)
3	M147 M387/M325 M263/M002/M036	𛼫(M147)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
3	M261 M263/M002/M036 M387/M325	𜂵(M261)  𜃁/𛴾/𛶎(M263/M002/M036)  𜋾/𜈒(M387/M325)
3	M036+N39C/M305 M288 M124/M242/M047/M218/M388	𛶙/𜆡(M036+N39C/M305)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
3	M061/M062/M036+N24/M370+M072 M288 M124/M242/M047/M218/M388	𛸍/𛸐/𛶐/𜊛𛸧(M061/M062/M036+N24/M370+M072)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
3	M036+N24/M061/M062/M370+M072 M288 M124/M242/M047/M218/M388	𛶐/𛸍/𛸐/𜊛𛸧(M036+N24/M061/M062/M370+M072)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
3	M062/M061/M036+N24/M370+M072 M288 M124/M242/M047/M218/M388	𛸐/𛸍/𛶐/𜊛𛸧(M062/M061/M036+N24/M370+M072)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
3	M278/M069/M036+N30C M387/M325 M263/M002/M036	𜄉/𛸠/𛶒(M278/M069/M036+N30C)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
3	M069/M278/M036+N30C M387/M325 M263/M002/M036	𛸠/𜄉/𛶒(M069/M278/M036+N30C)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
