chain_id	row_type	step	count	chain_length	codes	glyphs	from_code	from_glyph	to_code	to_glyph
6	step	7	5				M346~a	𜈿	M006@g	𛵊
6	step	7	1				M346	𜈽	M005~a	𛵈
6	step	7	1				M346~c	𜉅	M006	𛵉
6	step	7	1				M346~a2	𜉁	M006	𛵉
6	step	7	1				M346~1	𜈾	M006	𛵉
6	step	7	1				M346	𜈽	M006@g~2	𛵌
6	step	8	4				M006	𛵉	M362~a	𜊁
6	step	8	2				M006@g	𛵊	M367	𜊊
6	step	8	2				M006	𛵉	M362	𜉮
6	step	8	1				M006	𛵉	M367~a1	𜊌
6	step	8	1				M006	𛵉	M362~b	𜊂
6	step	8	1				M006	𛵉	M367~f	𜊒
7	summary			7	M260+N24 M228~ga/M228/M228~d M036+N30D/M036+N14 M297/M297~b/M297~d/M297~bc M218/M218~b/M242~ab/M242~b/M242~n/M124/M047/M388 M288/M288~d/M288~a/M288~f/M288~e M124/M242~ab/M242~b/M242~n/M218/M218~b/M047/M388	𜂮 𜀫/𜀢/𜀩 𛶔/𛶏 𜅸/𜅻/𜆀/𜅽 𛿺/𜀄/𜀻/𜀼/𜁂/𛻃/𛷊/𜌓 𜄱/𜄸/𜄵/𜄺/𜄹 𛻃/𜀻/𜀼/𜁂/𛿺/𜀄/𛷊/𜌓				
7	step	1	2				M260+N24	𜂮	M228~ga	𜀫
7	step	2	1				M228	𜀢	M036+N30D	𛶔
7	step	2	1				M228~d	𜀩	M036+N30D	𛶔
7	step	3	4				M036+N30D	𛶔	M297	𜅸
7	step	3	4				M036+N30D	𛶔	M297~b	𜅻
7	step	3	3				M036+N14	𛶏	M297	𜅸
7	step	3	1				M036+N14	𛶏	M297~b	𜅻
7	step	3	1				M036+N30D	𛶔	M297~d	𜆀
7	step	4	4				M297	𜅸	M388	𜌓
7	step	4	4				M297	𜅸	M218	𛿺
7	step	4	2				M297~b	𜅻	M218	𛿺
7	step	5	21				M124	𛻃	M288	𜄱
7	step	5	19				M388	𜌓	M288	𜄱
7	step	5	9				M218	𛿺	M288	𜄱
7	step	5	2				M047	𛷊	M288	𜄱
7	step	5	1				M242~b	𜀼	M288	𜄱
7	step	5	1				M242~ab	𜀻	M288	𜄱
7	step	5	1				M124	𛻃	M288~i	𜄽
7	step	6	39				M288	𜄱	M124	𛻃
7	step	6	28				M288	𜄱	M388	𜌓
7	step	6	6				M288	𜄱	M218	𛿺
7	step	6	1				M288	𜄱	M242~b	𜀼
7	step	6	1				M288~f	𜄺	M047	𛷊
7	step	6	1				M288	𜄱	M242~f	𜁀
7	step	6	1				M288	𜄱	M047	𛷊
8	summary			6	M073~b/M073~a M318~a1/M318/M318~a/M318~e M297/M297~b/M297~d/M297~bc M218/M218~b/M242~ab/M242~b/M242~n/M124/M047/M388 M288/M288~d/M288~a/M288~f/M288~e M124/M242~ab/M242~b/M242~n/M218/M218~b/M047/M388	𛸪/𛸩 𜇫/𜇩/𜇪/𜇯 𜅸/𜅻/𜆀/𜅽 𛿺/𜀄/𜀻/𜀼/𜁂/𛻃/𛷊/𜌓 𜄱/𜄸/𜄵/𜄺/𜄹 𛻃/𜀻/𜀼/𜁂/𛿺/𜀄/𛷊/𜌓				
8	step	1	1				M073~a	𛸩	M318~a1	𜇫
8	step	1	1				M073~b	𛸪	M318~g	𜇰
8	step	2	1				M318~a	𜇪	M297	𜅸
8	step	2	1				M318	𜇩	M297	𜅸
8	step	3	4				M297	𜅸	M388	𜌓
8	step	3	4				M297	𜅸	M218	𛿺
8	step	3	2				M297~b	𜅻	M218	𛿺
8	step	4	21				M124	𛻃	M288	𜄱
8	step	4	19				M388	𜌓	M288	𜄱
8	step	4	9				M218	𛿺	M288	𜄱
8	step	4	2				M047	𛷊	M288	𜄱
8	step	4	1				M242~b	𜀼	M288	𜄱
8	step	4	1				M242~ab	𜀻	M288	𜄱
8	step	4	1				M124	𛻃	M288~i	𜄽
8	step	5	39				M288	𜄱	M124	𛻃
8	step	5	28				M288	𜄱	M388	𜌓
8	step	5	6				M288	𜄱	M218	𛿺
8	step	5	1				M288	𜄱	M242~b	𜀼
8	step	5	1				M288~f	𜄺	M047	𛷊
8	step	5	1				M288	𜄱	M242~f	𜁀
8	step	5	1				M288	𜄱	M047	𛷊
