Unicode	Hieroglyph	PUA	Hieratic/PUA	Glyph name
U+1319E	𓆞	U+F319E	󳆞	u1319E
U+1319F	𓆟	U+F319F	󳆟	u1319F
U+131A0	𓆠	U+F31A0	󳆠	u131A0
U+131A1	𓆡	U+F31A1	󳆡	u131A1
U+131A2	𓆢	U+F31A2	󳆢	u131A2
U+131A3	𓆣	U+F31A3	󳆣	u131A3
U+131A4	𓆤	U+F31A4	󳆤	u131A4
U+131A5	𓆥	U+F31A5	󳆥	u131A5
U+131A6	𓆦	U+F31A6	󳆦	u131A6
U+131A7	𓆧	U+F31A7	󳆧	u131A7
U+131A8	𓆨	U+F31A8	󳆨	u131A8
U+131A9	𓆩	U+F31A9	󳆩	u131A9
U+131AA	𓆪	U+F31AA	󳆪	u131AA
U+131AB	𓆫	U+F31AB	󳆫	u131AB
U+131AC	𓆬	U+F31AC	󳆬	u131AC
U+131AD	𓆭	U+F31AD	󳆭	u131AD
U+131AE	𓆮	U+F31AE	󳆮	u131AE
U+131AF	𓆯	U+F31AF	󳆯	u131AF
U+131B0	𓆰	U+F31B0	󳆰	u131B0
U+131B1	𓆱	U+F31B1	󳆱	u131B1
U+131B2	𓆲	U+F31B2	󳆲	u131B2
U+131B3	𓆳	U+F31B3	󳆳	u131B3
U+131B4	𓆴	U+F31B4	󳆴	u131B4
U+131B5	𓆵	U+F31B5	󳆵	u131B5
U+131B6	𓆶	U+F31B6	󳆶	u131B6
U+131B7	𓆷	U+F31B7	󳆷	u131B7
U+131B8	𓆸	U+F31B8	󳆸	u131B8
U+131B9	𓆹	U+F31B9	󳆹	u131B9
U+131BA	𓆺	U+F31BA	󳆺	u131BA
U+131BB	𓆻	U+F31BB	󳆻	u131BB
U+131BC	𓆼	U+F31BC	󳆼	u131BC
U+131BD	𓆽	U+F31BD	󳆽	u131BD
U+131BE	𓆾	U+F31BE	󳆾	u131BE
U+131BF	𓆿	U+F31BF	󳆿	u131BF
U+131C0	𓇀	U+F31C0	󳇀	u131C0
U+131C1	𓇁	U+F31C1	󳇁	u131C1
U+131C2	𓇂	U+F31C2	󳇂	u131C2
U+131C3	𓇃	U+F31C3	󳇃	u131C3
U+131C4	𓇄	U+F31C4	󳇄	u131C4
U+131C5	𓇅	U+F31C5	󳇅	u131C5
U+131C6	𓇆	U+F31C6	󳇆	u131C6
U+131C7	𓇇	U+F31C7	󳇇	u131C7
U+131C8	𓇈	U+F31C8	󳇈	u131C8
U+131C9	𓇉	U+F31C9	󳇉	u131C9
U+131CA	𓇊	U+F31CA	󳇊	u131CA
U+131CB	𓇋	U+F31CB	󳇋	u131CB
U+131CC	𓇌	U+F31CC	󳇌	u131CC
U+131CD	𓇍	U+F31CD	󳇍	u131CD
U+131CE	𓇎	U+F31CE	󳇎	u131CE
U+131CF	𓇏	U+F31CF	󳇏	u131CF
U+131D0	𓇐	U+F31D0	󳇐	u131D0
U+131D1	𓇑	U+F31D1	󳇑	u131D1
U+131D2	𓇒	U+F31D2	󳇒	u131D2
U+131D3	𓇓	U+F31D3	󳇓	u131D3
U+131D4	𓇔	U+F31D4	󳇔	u131D4
U+131D5	𓇕	U+F31D5	󳇕	u131D5
U+131D6	𓇖	U+F31D6	󳇖	u131D6
U+131D7	𓇗	U+F31D7	󳇗	u131D7
U+131D8	𓇘	U+F31D8	󳇘	u131D8
U+131D9	𓇙	U+F31D9	󳇙	u131D9
U+131DA	𓇚	U+F31DA	󳇚	u131DA
U+131DB	𓇛	U+F31DB	󳇛	u131DB
U+131DC	𓇜	U+F31DC	󳇜	u131DC
U+131DD	𓇝	U+F31DD	󳇝	u131DD
U+131DE	𓇞	U+F31DE	󳇞	u131DE
U+131DF	𓇟	U+F31DF	󳇟	u131DF
U+131E0	𓇠	U+F31E0	󳇠	u131E0
U+131E1	𓇡	U+F31E1	󳇡	u131E1
U+131E2	𓇢	U+F31E2	󳇢	u131E2
