Unicode	Hieroglyph	Experimental Hieratic	Hieratic char	Glyph name
U+13116	𓄖	U+33116	𳄖	u13116
U+13117	𓄗	U+33117	𳄗	u13117
U+13118	𓄘	U+33118	𳄘	u13118
U+13119	𓄙	U+33119	𳄙	u13119
U+1311A	𓄚	U+3311A	𳄚	u1311A
U+1311B	𓄛	U+3311B	𳄛	u1311B
U+1311C	𓄜	U+3311C	𳄜	u1311C
U+1311D	𓄝	U+3311D	𳄝	u1311D
U+1311E	𓄞	U+3311E	𳄞	u1311E
U+1311F	𓄟	U+3311F	𳄟	u1311F
U+13120	𓄠	U+33120	𳄠	u13120
U+13121	𓄡	U+33121	𳄡	u13121
U+13122	𓄢	U+33122	𳄢	u13122
U+13123	𓄣	U+33123	𳄣	u13123
U+13124	𓄤	U+33124	𳄤	u13124
U+13125	𓄥	U+33125	𳄥	u13125
U+13126	𓄦	U+33126	𳄦	u13126
U+13127	𓄧	U+33127	𳄧	u13127
U+13128	𓄨	U+33128	𳄨	u13128
U+13129	𓄩	U+33129	𳄩	u13129
U+1312A	𓄪	U+3312A	𳄪	u1312A
U+1312B	𓄫	U+3312B	𳄫	u1312B
U+1312C	𓄬	U+3312C	𳄬	u1312C
U+1312D	𓄭	U+3312D	𳄭	u1312D
U+1312E	𓄮	U+3312E	𳄮	u1312E
U+1312F	𓄯	U+3312F	𳄯	u1312F
U+13130	𓄰	U+33130	𳄰	u13130
U+13131	𓄱	U+33131	𳄱	u13131
U+13132	𓄲	U+33132	𳄲	u13132
U+13133	𓄳	U+33133	𳄳	u13133
U+13134	𓄴	U+33134	𳄴	u13134
U+13135	𓄵	U+33135	𳄵	u13135
U+13136	𓄶	U+33136	𳄶	u13136
U+13137	𓄷	U+33137	𳄷	u13137
U+13138	𓄸	U+33138	𳄸	u13138
U+13139	𓄹	U+33139	𳄹	u13139
U+1313A	𓄺	U+3313A	𳄺	u1313A
U+1313B	𓄻	U+3313B	𳄻	u1313B
U+1313C	𓄼	U+3313C	𳄼	u1313C
U+1313D	𓄽	U+3313D	𳄽	u1313D
U+1313E	𓄾	U+3313E	𳄾	u1313E
U+1313F	𓄿	U+3313F	𳄿	u1313F
U+13140	𓅀	U+33140	𳅀	u13140
U+13141	𓅁	U+33141	𳅁	u13141
U+13142	𓅂	U+33142	𳅂	u13142
U+13143	𓅃	U+33143	𳅃	u13143
U+13144	𓅄	U+33144	𳅄	u13144
U+13145	𓅅	U+33145	𳅅	u13145
U+13146	𓅆	U+33146	𳅆	u13146
U+13147	𓅇	U+33147	𳅇	u13147
U+13148	𓅈	U+33148	𳅈	u13148
U+13149	𓅉	U+33149	𳅉	u13149
U+1314A	𓅊	U+3314A	𳅊	u1314A
U+1314B	𓅋	U+3314B	𳅋	u1314B
U+1314C	𓅌	U+3314C	𳅌	u1314C
U+1314D	𓅍	U+3314D	𳅍	u1314D
U+1314E	𓅎	U+3314E	𳅎	u1314E
U+1314F	𓅏	U+3314F	𳅏	u1314F
U+13150	𓅐	U+33150	𳅐	u13150
U+13151	𓅑	U+33151	𳅑	u13151
U+13152	𓅒	U+33152	𳅒	u13152
U+13153	𓅓	U+33153	𳅓	u13153
U+13154	𓅔	U+33154	𳅔	u13154
U+13155	𓅕	U+33155	𳅕	u13155
U+13156	𓅖	U+33156	𳅖	u13156
U+13157	𓅗	U+33157	𳅗	u13157
U+13158	𓅘	U+33158	𳅘	u13158
U+13159	𓅙	U+33159	𳅙	u13159
U+1315A	𓅚	U+3315A	𳅚	u1315A
U+1315B	𓅛	U+3315B	𳅛	u1315B
U+1315C	𓅜	U+3315C	𳅜	u1315C
U+1315D	𓅝	U+3315D	𳅝	u1315D
U+1315E	𓅞	U+3315E	𳅞	u1315E
U+1315F	𓅟	U+3315F	𳅟	u1315F
U+13160	𓅠	U+33160	𳅠	u13160
U+13161	𓅡	U+33161	𳅡	u13161
U+13162	𓅢	U+33162	𳅢	u13162
U+13163	𓅣	U+33163	𳅣	u13163
U+13164	𓅤	U+33164	𳅤	u13164
U+13165	𓅥	U+33165	𳅥	u13165
U+13166	𓅦	U+33166	𳅦	u13166
U+13167	𓅧	U+33167	𳅧	u13167
U+13168	𓅨	U+33168	𳅨	u13168
U+13169	𓅩	U+33169	𳅩	u13169
U+1316A	𓅪	U+3316A	𳅪	u1316A
U+1316B	𓅫	U+3316B	𳅫	u1316B
U+1316C	𓅬	U+3316C	𳅬	u1316C
U+1316D	𓅭	U+3316D	𳅭	u1316D
U+1316E	𓅮	U+3316E	𳅮	u1316E
U+1316F	𓅯	U+3316F	𳅯	u1316F
U+13170	𓅰	U+33170	𳅰	u13170
U+13171	𓅱	U+33171	𳅱	u13171
U+13172	𓅲	U+33172	𳅲	u13172
U+13173	𓅳	U+33173	𳅳	u13173
U+13174	𓅴	U+33174	𳅴	u13174
U+13175	𓅵	U+33175	𳅵	u13175
U+13176	𓅶	U+33176	𳅶	u13176
U+13177	𓅷	U+33177	𳅷	u13177
U+13178	𓅸	U+33178	𳅸	u13178
U+13179	𓅹	U+33179	𳅹	u13179
U+1317A	𓅺	U+3317A	𳅺	u1317A
U+1317B	𓅻	U+3317B	𳅻	u1317B
U+1317C	𓅼	U+3317C	𳅼	u1317C
U+1317D	𓅽	U+3317D	𳅽	u1317D
U+1317E	𓅾	U+3317E	𳅾	u1317E
U+1317F	𓅿	U+3317F	𳅿	u1317F
U+13180	𓆀	U+33180	𳆀	u13180
U+13181	𓆁	U+33181	𳆁	u13181
