Nr 	English 	Hungarian 	Best Uralic	Eurasian	Finnish 	Karelian 	Estonian 	Erzya 	Moksha 	Komi (Zyrian dialect) 	Mansi (North Mansi) 	North Sami 	Kildin Sami 	Tundra Nenets
115	to split 	hasít 			halkaista 	hallata 	lõhestama poolitama 	лазомс 	лазомс 	 	 	 	луэннҍтэ (luennʹte) 	
116	to stab 	szúr 		piks	pistää 	pistiä čökätä 	pussitama 	лазомс (пеельсэ) 	сялгомс 	 	 	 	чо̄һкэ (čōhke) 	
117	to scratch 	vakar 	kratsima kraapima 	kratz, krabbel	raapia kynsiä 	riibuo kyndžie krabista 	kratsima kraapima 	раздемс 	сянгордамс 	 	 	 	суввэ (suvve) 	
118	to dig 	Ás < dash < dig	kaivaa 	cave	kaivaa 	kaivua 	kaevama 	чувомс 	шувомс 	 	 	goaivut 	куаййвэ (kuajjve) 	
119	to swim 	úszik 	uida 	@water	uida 	uidua 	ujuma 	экшелямс уемс 	эшелямс 	уявны 	 	vuodjat 	вӯйе (vūjʹe) 	
120	to fly 	repül 		linda~lieder=birds	lentää 	lendiä 	lendama 	ливтямс 	лиемс 	лэбавны 	 	girdit 	кыррьтэ (kɨrrʹte) 	
121	to walk 	megy sétál 		kav?aller	kävellä 	kävellä 	kõndima 	ютамс (ялго) 	якамс ялга молемс 	 	jal- min- 	vázzit 	ва̄ннҍцэ (vānnʹce) 	jader-
122	to come 	jön 			tulla 	tulla 	tulema 	самс 	самс 	локны 	ji- joχt- 	boahtit 	пуэдтӭ (puedtʹe) 	
123	to lie 	fekszik 		.	maata 	venyö virua muata (to sleep) 	lamama 	аштемс (мадезь) 	мадозь ащемс 	куйлыны 	 	veallát (humans), goarjadit (dogs), livvadit (other animals) 	луввэ (luvve) 	
124	to sit 	ül 		sit @stuhl	istua 	istuo 	istuma 	аштемс (озадо) 	озада ащемс 	пукавны 	ūnl- 	čohkkát 	ышштэ (ɨššte) 	
125	to stand 	áll 	seižuo 	! <> sit, cess	seistä seisoa 	seižuo 	seisma 	аштемс (стядо) 	стяда ащемс 	чеччавны 	 	čuožžut 	чуэннчэ (čuennče) 	
126	to turn 	fordul 		ptörm?	kääntyä pyöriä 	kiändiä pyörie 	pöörama 	пурдамс 	шаромс шарфтомс 	бергавны 	 	jorggihit 	ёҏтътэллэ (jor̥ttelle) (intransitive) ле̄вхэ (lʹēvxe) 	
127	to fall 	esik 			pudota kaatua langeta 	kuaduo langeta kikota 	kukkuma langema 	прамс 	прамс 	усьны 	 	gahččat 	кэ̄һче (kēhčʹe) 	
128	to give 	ad 	andua 	hand!	antaa 	andua 	andma 	максомс 	максомс 	сетны 	mi- 	addit 	аннҍтэ (annʹte) 	
129	to hold 	fog 	pidiä 	<<	pitää 	pidiä 	hoidma pidama 	кирдемс 	кирдемс 	кутны 	 	doallat 	оаннӭ (oannʹe) 	
130	to squeeze 	szorít 	puristaa 	press	puristaa 	purištua ličata 	(kokku) suruma 	лепштямс 	пувордамс 	 	 	 	падже (padžʹe) 	
131	to rub 	dörzsöl 		!	hieroa 	hierua 	hõõruma 	ёзамс 	нардамс 	 	 	 	е̄ррэ (jērre) 	
132	to wash 	mos 	pestä 	<> mwather	pestä 	pestä peššä 	pesema 	шлямс муськемс пезэмс 	штамс 	мыссьыны 	 	bassat 	пэ̄ссэ (pēsse) 	
133	to wipe 	töröl 			pyyhkiä 	pyhkie 	pühkima 	нардамс 	нардамс 	 	 	 	е̄ррэ (jērre) 	
134	to pull 	huz		fetch?	vetää 	vediä taššie 	tõmbama vedama 	ускомс 	таргамс 	 	 	geassit 	ке̄ссе (kʹēssʹe) 	
135	to push 	tol 		¬tow	työntää 	tungie töykätä 	tõukama 	тулкадемс 	толхмадемс ряфцодемс 	 	 	hoigat 	оййкъе (ojjkje) 	
136	to throw 	dob 			heittää viskata 	bringata viškuo lykkie heittiä (to leave, to abandon, to stop) 	heitma viskama 	ёртомс 	ёрдамс 	 	li- 	bálkestit 	чаццькэ (čaccʹke) 	
137	to tie 	köt 		knot, sa’um	sitoa solmia (a knot) 	siduo solmie niegluo 	siduma 	сюлмамс 	сотомс 	 	 	čatnat 	ко̄ррэ (kōrre) 	
138	to sew 	varr 			ommella neuloa 	ommella nieglua 	õmblema 	стамс 	стамс 	 	 	goarrut 	куаррэ (kuarre) 	
139	to count 	számol 		?	laskea lukea (archaic) 	laskie lugie 	loendama 	ловомс 	лувомс 	лыддьыны 	 	rehkenastit 	ло̄гкэ (lōgke) 	
140	to say 	mond szól 		Modt sayn! 	sanoa 	sanuo 	ütlema 	меремс 	азомс 	шуны 	 	dadjat, lohkat, cealkit 	це̄ӆӆькэ (cʹēl̥l̥ʹke) 	
141	to sing 	énekel dalol 	laulaa 	lala;) jaul	laulaa 	laulua pajattua 	laulma 	морамс 	морамс 	сьывны 	ērɣ- lujɣ- 	lávlut 	ла̄ввлэ (lāvvle) 	
142	to play 	játszik 		(bala)leika, leasure	leikkiä pelata soittaa 	kizata elostua soittua (music) 	mängima 	налксемс 	налхкомс 	ворсыны 	jonɣ- 	stoahkat 	сӣррэ (sīrre) 	
143	to float 	lebeg úszik 			kellua 	keiluo 	hõljuma 	уемс (ведь лангсо) 	уемс 	 	 	 	вӯйе (vūjʹe) 	
144	to flow 	folyik 			virrata 	virrata 	voolama 	чудемс 	шудемс 	 	 	 	ко̄ллкэ (kōllke) 	
145	to freeze 	fagy 			jäätyä 	jiändyö kylmiä 	külmuma jäätuma 	кельмемс эензамс 	эйндамс 	кынмыны 	 	jiekŋut 	калльмэ (kallʹme) 	
146	to swell 	dagad duzzad 			paisua turvota 	paizota turvota 	paisuma 	таргозевемс 	паймошкодомс 	 	 	 	(swelling) поаз (poaz) 	
147	sun 	Nap <>  нєбо 	Päivke ??	Ши / Pyro?!! !!!!!!??	Aurinko  !	päiväine 	päike 	чипай чи 	ши 	 	 	beaivi, beaivváš 	пе̄ййв (pʹējjv) 	
148	moon 	hold 		🌔Kugel?	kuu 	kuu 	kuu 	ков 	ков 	тöлысь 	 	mánnu 	ма̄нн (mānn) 	
149	star 	csillag 			tähti 	tähti 	täht 	теште 	тяште 	кодзув 	 	násti 	та̄ссьт (tāssʹt) 	
150	water 	víz 	vezi 	Wasser	vesi 	vezi 	vesi 	ведь 	ведь 	ва 	wit 	čáhci 	ча̄дзь (čādzʹ) 	
151	rain 	eső (noun) 	sataa 𓎛𓀝𓇋𓇋𓏏𓈗	schütt! 𓇲𓂍𓁿  	sataa 	vihmuo 	(vihma) sadama 	пиземс 	пиземс 	зэрны 	 	arvit 	(the rain) аббьр (abbʹr) 	
152	river 	jó (archaic), folyó 	joki 	Лей ~ lake 	joki 	jogi 	jõgi 	лей 	ляй 	ю 	jā 	johka 	ё̄гк (jōgk) 	jəxa
153	lake 	tó 		Лей ^^ river	järvi 	järvi 	järv 	эрьке 	эрьхке 	ты 	tūr 	jávri 	я̄ввьр (jāvvʹr) 	
154	sea 	tenger 	meri 	Meer ++	meri 	meri 	meri 	иневедь 	моря 	саридз 	šārəš 	mearra 	ме̄рр (mʹērr) 	
155	salt 	só 		salt	suola 	suola 	sool 	сал 	сал 	сов 	 	sálti 	сӯлль (sūllʹ) 	
156	stone 	kő 	<<>>	𓊌	kivi 	kivi 	kivi 	кев 	кев 	из 	āχʷtas 	geađgi 	ке̄ддҍк (kʹēddʹk) 	
157	sand 	homok 		<> lift	hiekka suurimo 	čuuru liede lieto 	liiv 	чувар 	шувар 	лы 	 	sáttu 	вӯнтас (vūntas) 	
158	dust 	por 		Vapor, Ton, poly?	tomu pöly 	tomu pöly 	tolm 	чельке 	пуль 	бус 	rāw 	gavja 	пуэнн (puenn) 	
159	earth 	föld 		мода earth! 	maa 	mua 	maa 	мода 	мода 	мусяр 	mā 	eanan 	е̄ммьне (jēmmʹnje) 	
