	전체로	in  totality						
	좀	a  trifle: some						
	잠시	some						
	주	shire						
	주	chief…						
	주인공	hero		Jying-land				
	즉	that	jegy<dasg					
	지성소	holy	지.sancso					
	지옥	Tartarus						
	지키다	stand  sentry						
	지휘자	professor						
	직물	textile	texmile					
	직선 코스	straight	tacheles					
	질이 좋은 진주	orient						
	짐	Setting < time						
	차례로	in  turn						
	차마시는 시간	teatime						
	참으로	of a  truth		<				
	채	thill						
	챙	visor		Theo < theater				
	철두철미	through						
	체체파리	tsetse fly						
	촉륜	trolley						
	최고, 최적	Top …						
	최루가스를 	teargas						
	출발 명령	tour						
	출발 	turn?						
	친척인	of  kin						
	침대요	mattress		Timatte !!				
	카피르 사람	Kaffir						
	캠프장	camp						
	컨테이너수송	container shipping						
	코 = 𓍿	LINK: CO…	𓊃	<<< 𓍿				
								
	코페이카	kopeck						
	콘크리트 블록	cinder block						
	콜라	kola						
	퀸	queen						
	크게 도움이 되다	go a good(long)  way						
	큰 낫	scythe						
	크고 못생긴 코	snout						
	큰거리	Main Street		con.cureet				
	큰소리…	chant						
	타르를 	tar						
	타밀 사람	Tamil						
	타스 통신사	Tass						
	타이어	tire						
	타월을  던지다	throw (toss) in the  towel						
