 No. 	English 	Aryan	Lithuanian 	Old Prussian	Latvian 	Latgalian 	Samogitian 	Old Prussian
196	correct 	🗹 (rich)tic.nig ठीक ṭhīk	teisingas|tikras 	tikkars|tikrōmisks|arwiskai	pareizs|taisnīgs 	pareizs|taisneigs 	- 	tikkars|tikrōmisks|arwiskai
197	near 	Ortho ~to…	arti|šalia|netoli 	taūwu|pagār|taūws	tuvs 	tyvs tiveims 	šalėp 	taūwu|pagār|taūws
198	far 	Tele™ ✓	tolus|tolimas|atokus|atstus 	tāli|tāls|etāliskan	tāls 	toleims 	tuolėi 	tāli|tāls|etāliskan
199	right (side) 	🗹 (rich)tick, दक्षिण (dakšiṇa) dexter < directio	dešinė 	tikrā	labais|pa labi 	lobais|pa lobai 	- 	tikrā
200	left (side) 	!!!<<<	kairė 	kāirā	kreisā puse 	kairais|kairuo puse 	- 	kāirā
201	at 	Pros → bei, antes	į|prie|pas|ties|ant 	prēi	pie 	pi 	i 	prēi
202	in 	in	į|in 		iekš 	vyd 	i 	
203	with 	zu|syn	su|są|san 	sa|san	ar 	ar 	- 	sa|san
204	and 	un(d)|y| ir<or<অপৰ apara : apart > aber,but, bei(d) +++	ir|bei 	be	un 	i 	- 	be
205	if 	ja|gar! akk@goth Quand ++	jei|jeigu|kad 	ik|ikkai	ja 	ka|kod 	- 	ik|ikkai
206	because 	…	nes|kad|kadangi|todėl 	begi|paggan|kaddan gi|stesse paggan	tāpēc (ka)|jo 	kam|partū ka|deļtuo ka 	todėl|dėl to 	begi|paggan|kaddan gi|stesse paggan
207	name 	WORT <> wir.dan!   (privat-) Omen/Nomen	vardas|pavadinimas 	wīrdan|ēmens|ēmen|wirdan	vārds 	vuords 	- 	wīrdan|ēmens|ēmen|wirdan
