#,Swadesh_207_gloss,PIE,p-Kunama,p-Maba,p-Berta,Fur,p-Moru-Madi,p-Lendu-Ngiti,p-Mangbetu,p-Mangbutu,p-Sara-Bongo-Bagirmi,p-Kresh,Aja,Birri,p-Songhay,p-Kanuri,p-Tubu,p-Zaghawa-Berti,p-Koman,Gule,p-Gumuz,p-Kadu,Shabo,p-Nubian,p-SW Surmic,p-SE Surmic,Majang,Nara,p-Jebel,p-Nyimang,p-Temein,p-Tama,p-Daju,p-W Nilotic,p-E Nilotic,p-S Nilotic,p-Kuliak
76,mouth,10000 WORDS,*wid-,*kana,*ndu,uto,*tī,*=cʊ̀ ~ *=cɔ̀,*=tíꜜ,*uti,*ta[-ra],àkpà,,tyi,*miye,*kǝyi,*kɔi,*ʔaː,*tˀwa,ʔitə-n,*=s-,*=iːno,kaw,*agul ₁,*ʊt̪ʊ(-)k ₂,*tuk ₂,átó ₂,awlo,*Ud- ₂,*ŋal-,*=t̪ʊ- ~ *=ʊt̪- ₂,*(o=)kul ₁,*uk-e ₃,*t̪ɔk ₂,*kʊ=tʊk ₂,*k̚ʊːt ₂,*ak ₃
77,tooth,10000 WORDS,*may-,*saTi,,d=agi,*sí,*=ku,*=kí,*usɛ,*sU; *ŋaŋa,*ɕe-ɕe,u=ku,sì,*hìŋè,*tímì,*tome,*margɪ; *ʔikoN,*šɛ(y),seː-n,*kˀos-,*=ki(-)ni,k(ˀ)aw,*ɲǝl- ₁,*ɲɪgɪt ₂,*ɲigi ₂,ŋídá-n,nihi,*ɲigi ₂,*ŋil- ₁,*=ay-,*ŋeʓ-,*ɲiɣi ₂,*lak / *lɛk,*k̚ela- ₃,*k̚ɛːɬ- ₃,*kʷay-
78,tongue,10000 WORDS,*ŋeːl-,*=dilm-,*kàlàː ~ *kàlèː,d=aːli,*l=ɛ(n)ɖa,*īdà,*=àꜛɖàꜛ,*k=aɖu,*n=ɖɛ,*n=ʓa,ndi-ndyi,ì=nɖrɔ́,*dèːnè,*t(ə́)lam,*tlǝm,*tam(ɪ)sɪ,*lɛtˀ; *tˀakal,adatˀ-wai,*kˀo=tˀatˀ-,*=ŋaɗɔ,handa,*ɲalT- ₁,*ʌgʌːt ₂,*kaːt ₂,kàɗà ₂,haga,*kala(-di),*ŋal(d)- ₁; *ɔl-,*=kanɖɪma-,*laɲa-,*ɲabir-e,*lɛ(ː)p,*ŋaʓɛp,*ŋaɬɛp,*nakˀaf; *ɛdɛɓ
79,fingernail (claw),10000 WORDS,*ikiN-; *uɕum-,*ŋgirm-,*máːɕù,ka(ː)ru,*ɔ́ɲí,,*=ɛ́ꜜwɛ́ꜜ,,*ɲal (?),*kakpi (?),kiŋgbi,=isi,*boyo,*ŋgur-,*turkɔn(o),*targʊ; *ergiN,*čˀikir,=gamaːl,*kˀwa=cic-,*laːka; *ŋgoro,seŋgi,*suŋ-di,*vallag- ₁,*falag- ₁,čò=pòlk-òy ₁,ši,*mVsi,*fál-,*=ol-,*ŋosa-,*ɲuɣ-,*rop-; *kʊr-,,*pu(ː)l-; *sɪːʀ,*kɔrɔk; *sak
80,foot,10000 WORDS,*mind-,*ǯaw; *daw-,*kùː,taːr,*pá,*=/V/kɔ́; *=pɔ̀,*=ɔ́ꜜnzɔ́ꜜ,*k=aru,*=nɖi ~ *nʓa,[*laga],kaɕa,uŋgba,*ke (← *kaw-i?),*sî,*say; *digi,*dei; *wata,*čoŋkˀ,suma-n,*čog-,*aw-,biɕɕa,*oy- (*os-?),*ðoː-,*ǯagar-,ɗèrà-n,bala,*luː-,*kir- ₁,*=alwa- (?),*war,*eɣe-,*kɪːr ₁,*k̚ɛʓ- / *moko-,*k̚ɛːɬ,*tɛgʷ
81,leg,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,knee,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,hand,10000 WORDS,*kon-,*kara,*tàbá,*=oŋa,*ɖí,*ɔ̄cʊ́; *(V)θɔ́,*=tɛ́,*eɗi ~ *aɗi,*ʓi,[*rɛke],ruɓu,iɲi,*kambe,*(N=)doko,*kɔbɛ,*mai,*mbitˀ,bitˀɛ-n,*el-,*=iːso,efu ~ ifu,*ǝsi ₁,*ʌði ₁,*si(y)- ₁,*ʔàrì,aːt,*čarʸo; *as ₁,*ayi ₂; *at̪a,*=ɛn(-a) ₃,*awg-,*a-n- / *a-s- ₂,*ɕɪn-,*k̚ay- ₂,*k̚aː-tit ₂,*kʷɛt; *an ₃
84,wing,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,belly,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,guts,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,neck,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,back,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,breast,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,heart,10000 WORDS,*ulf-,*kuli,*bìɕí,k=ilma,*ásí,*=āθí,*=ísúꜜ,*ɓoru,*ŋguL,[*suru],mágú,,*binɛ,*k(=)aɣur(ǝ)ɣǝ,*aɣɔr,*todu,,,*kˀu=bic-,*=nug-,dundet,*ail-,*ðini ₁,*šan(-i) ₁,ɓàːyè ₂,asim-a ₃,*iyo; *Pon,*t̪ilum,*om (?) ₄,*samil- ₃,*=omigaɣ- ₄,*pyɛw- (?) ₂,*taw-,*(mu)kuleːl,*gur
91,liver,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,drink,10000 WORDS,*=no,*aŋ,*méːr-,*ba,*mbū,*=mbʊ̀,*=ɔmvu-ɔ,*a=mvu,*à=wɛ̄ (=yɛ̄ ?),*ɔ=mɔ,a=mu,a=ya,*nin; *haŋ,*yá,*ya,*ya-,*pi-; *tˀob-,si,*f/a/,*a=wɛ,wo,*niː-,*kʊɗ-,*mat- ₁ / *ir-,út-,liː- ₂,*maʈ- ₁,*li ₂; *d̪a(y)i,*awɪs-,*li- ₂,*wuɣ-,*maːd̪- ₁,*=mat- ₁,*ʀɛ ₂,*wɛt
