No ,English , ,,Aymara ,Kunza ,Southern Quechua runa simi,PIE / PERU,,,"Wichí languages (Guisnay, Nocten and Vejoz) ",Rapa Nui (Austronesian),Spanish,Mapudungun ,Paraguayan Guaraní avañe'?,,
150,water* ,"ackua, pour, apa, umwa@",??!?,uma ,"ack, puri, puye, yacko ",quyllur,? ? colour,,,inot ,vai ,agua,ko ,juky,,
151,rain* ,(p)lluvia? <> flow  zaïre?,?,jallu ,"saire, sairi ","unu, yaku","run, wakur",--<,,inot litak ,ua ,lluvia,maw ,ita,,<
152,river ,jrivera!,~??,jawira ,back-cka ,para,"parain plluvia@Peru,latin",++<,,tewuk ,? ,río,"lewfü, ?ewfü ",yvyku'i,eve=earth,
153,lake ,Aquata !! ^^,??!?,quta ,? ,mayu,mayim ???,+++,,"lawumek, lhemchitaj ",rano ,lago,pichi?afke? ,yvytimbo,eve=earth,
154,sea ,la.mar (spanish) quta ,??!?,"mama quta, lamarquta (Spanish) ",? ,qucha,Kuhle ???? ,+?,,inot litak ,tai ,mar,?afke? ,yvy,eve,
155,salt ,Chadi ~ salt,??!?,jayu ,"ckuta, ckutta ",mama qucha,Marmara Meer,++,,nisuy ,miti ,sal,chadi ,arai,a’rain,
156,stone* ,"kura!! qala<>?ebla, ?a?ra ++!!",??!?,qala ,ckaitchi ,kachi,,,,tente ,ma'ea ,piedra,kura ,tatatína,,
157,sand* ,sal’,??!?,ch'alla ,horckte ,rumi,rome?,,,alena ,one ,arena,kuyum ,yvága,,
158,dust ,,,? ,[[]] ,t'iyu,,,,"hulu, lamukw ",hunga ,polvo,"trufür, trufken ",yvytu,,
159,earth* ,uraqi earthi !!! ++++,??!?,"pacha, uraqi ",? ,hallp'a,,,,hunhat ,"henua, kaí?a ",tierra,mapu ,yrypy'a,,
160,cloud* ,,,qinaya ,[[]] ,allpa,,<<,,pele ,rangi ,nube,tromü ,yrypy'a,,
161,fog ,,,[[]] ,[[]] ,puyu,"Phuyag ~ fog  *pew blow, billow",++<,,tetsetaj ,kapua ,niebla,trukur ,"tatat?, timbo",,
