 № 	English 	Telugu 	 		Tamil 	Malayalam 	Kannada 	Tulu 	Gondi 	Konda-Dora 	Brahui
78	tongue 	నాలుక (nāluka) 	lingua		நாக்கு (nākku) 	നാക്ക് (/n̪aːkkɨ̆/), നാവ് (/n̪aːʋɨ̆/), മൊഴി (/moɻi/) 	ನಾಲಗೆ				
79	fingernail 	గోరు (gōru) 	Kralle	🗸	நகம் (nagam), உகிர் (/ukir/) 	[[]] () 	ಉಗುರು				
80	foot 	పాదము (pādamu), అడుగు (aḍugu) 	పాదము (pādamu)	🗸	அடி (adi), பாதம் 	അടി (/aʈi/), കാലടി (/kaːlaʈi/) 	ಅಡಿ				
81	leg 	కాలు (kālu) 	regel legel klaue	←	கால் (kāl) 	കാല് (/kaːlɨ̆/), കാൽ- (/kaːl-/) 	ಕಾಲು				
82	knee 	మోకాలు (mōkālu) 	<		மூட்டு (mooṭṭu) 	മുട്ട് (/muʈʈɨ̆/) 	ಮಂಡಿ				
83	hand 	చెయ్యి (ceyyi), చేయి (cēyi) 	-- 		கை (kai) 	കൈ (/kaɪ/) 	ಕೈ				
84	wing 	రెక్క (rekka) 	riser, irak~ikarus	<<	இறக்கை (irakkai) 	ചിറക് (/t͡ʃiɾakɨ̆/) 	ರೆಕ್ಕೆ				
85	belly 	పొట్ట (poṭṭa), కడుపు (kaḍupu) 	pot=belly		வயிறு(/vayiru/),தொந்தி(tonthi) 	വയറ് (/ʋajaɾɨ̆/), വയർ (/ʋajaɾ/), പള്ള (/paɭɭa/), വട്ടി (/ʋaʈʈi/), പേറ്റ് (/peːrrɨ̆/) 	ಹೊಟ್ಟೆ				
86	guts 	పేగులు (pēgulu) 			குடல் (kudal) 	കുടല് (/kuʈalɨ̆/), കുടൽ (/kuʈal/) 	ಕೆಚ್ಚು (keccu)				
87	neck 	మెడ (meḍa), కంఠం (kaMṭhaM) 			கழுத்து(kazhuthu) 	കഴുത്ത് (/kaɻut̪t̪ɨ̆/) 	ಕತ್ತು				
88	back 	వీపు (vīpu), వెన్ను (vennu) 			முதுகு (muthugu),புறம் (/puram/) 	പുറം (/puram/), മുതുകു് (/mut̪ukɨ̆/) 	ಬೆನ್ನು				
89	breast 	చన్ను (cannu), స్తనము (stanamu) 			மார்பு (mārbu), முலை(/mulai/) 	മുല (/mula/), അമ്മിഞ്ഞ (/ammiɲɲa/), നെഞ്ച് (/n̪ent͡ʃɨ̆/) (chest) 	ಮೊಲೆ				
90	heart 	గుండె (guMḍe) 	> gut!		உள்ளம் (uḷḷam), அகம் (/agam/) 	ചങ്ക് (/t͡ʃaŋkɨ̆/), കൂമ്പ് (/kuːmpɨ̆/), ഉള്ള് (/uɭɭɨ̆/) 	ಗುಂಡಿಗೆ				
91	liver 	కాలేయం (kālēyam) 			ஈரல்(īral) 	കരള് (/kaɾaɭɨ̆/), കരൾ (/kaɾaɭ/) 	ಈಲಿ				
92	to drink 	తాగు (tāgu) 	trank.un tag/gat/kud@Hind		குடி (kudi) 	കുടി (/kuʈi/) 	ಕುಡಿ				
93	to eat 	తిను (tinu) 			உண்(uN), தின்(/thin/) 	കഴി (/kaɻi/), തിന്ന് (/t̪innɨ̆/), ഉണ്ണ് (/uɳɳɨ̆/) 	ತಿನ್ನು, ಉಣ್ಣು				
94	to bite 	కొరుకు (koruku), కరచు (karacu) 			கடி (kadi) 	കടി (/kaʈi/) 	ಕಡಿ				
