		NE:Caspian 	NOT PIE!	2.1 Indo-European 2.2 Semitic 2.3 Turkic 2.4 Mongolic			NW:Pontic    	some PIE	ɨ < r	South:Kartvelian=Iberian>Georgian  	
917	JOIN	цхьаьнатоха	t͡sʜænətoxə		858	STICK (SOMETHING)	алаҵара	ɑlɑt͡sʼɑrɑ			
918	VISIT	хьажахIотта	ʜəʒəxiotːə		859	BREAK (DESTROY OR GET DESTROYED)	аҧҵəара	ɑpʰt͡sʼəɑrɑ			
919	ENCOUNTER	дуьхьалкхета	dyʜəlqetə		860	KNOCK	асра	ɑsrɑ			
920	MEET	гулдан	ɡu͡ʊldən	gather <>	861	HIT	ақəкшара	ɑkʰəkʼʂɑrɑ			
921	PLAY	ловза	lɔ͡ʊzə	leisure	862	GLUE (SOMETHING)	аҷабра	ɑt͡ʃʼɑbrɑ			
922	SING	лакха	ləqə	lark	863	RUB	арҟəыҷра	ɑrqʼəɨt͡ʃʼrɑ			
923	DANCE	хелхадала	xelxədələ		864	SPREAD (SOMETHING)	ахьшьра	ɑχʲʃrɑ			
924	PART WAYS	къаста	qʼəstə	asta la vista	865	SHARPEN (SOMETHING)	ахра	ɑχrɑ			
925	LEAVE (SOMEONE)	дита	dɪtə	--	866	CUT	аҧҟара	ɑpʰqʼɑrɑ			
926	RESCUE	кӏелхьардаккха	kʼelʜərdəqːə		867	JOG	арҵысра	ɑrt͡sʼɨsrɑ			
927	GUARD (SOMEONE)	ха дан	xə dən		868	SHAKE	аршəшəара	ɑrʂəʂəɑrɑ			
928	PROTECT	лардан	lərdən	l'warden <> lord	869	SWING (SOMETHING)	аҟьара	ɑqʼʲerɑ			
929	DEFEND	лардан	lərdən	l'warden	870	POUR	аҭаҭəара	ɑtʰɑtʰəɑrɑ			
930	BRAWL	етта	etːə		871	FILL	арҭəра	ɑrtʰərɑ			
931	SHOOT	детта	detːə	dshetta	872	WRAP	алаҳəара	ɑlɑħəɑrɑ			
932	WIN	тола	tolə	≠Teil	873	CARRY	аҩагара	ɑɥɑɡɑrɑ			
933	ANNOY	оьгӏаздахийта	øɣəzdəxɪɪ̆tə		874	DRAG	арҳəазара	ɑrħəɑzɑrɑ			
934	BEAT	тоха	toxə		875	PULL	ахара	ɑχɑrɑ			
935	KICK	мийра тоха	mɪɪ̆rə toxə		876	KEEP	аҵəахра	ɑt͡sʼəɑχrɑ			
936	STING	ӏотта	ʡotːə	iotta!	877	THROW	аршəра	ɑrʂərɑ			
936	STING	къовзо	qʼɔ͡ʊzo		878	CATCH	акра	ɑkʼrɑ			
937	SHOVE (SOMEONE)	татта	tətːə		879	GRAB (SOMETHING)	анкра	ɑnkʼrɑ			
938	STEAL	лачкъо	lət͡ʃqʼo	√let	879	GRAB (SOMETHING)	аҵкаара	ɑt͡sʼkʼɑːrɑ			
939	DISTURB (SOMEONE)	новкъарло ян	nɔ͡ʊqʼərlo jən		880	HIDE (CONCEAL)	аҵəахра	ɑt͡sʼəɑχrɑ			
940	BOTHER	сагатдан	səɡətdən		881	DIVIDE	ашара	ɑʂɑrɑ			
941	CONCEAL	къайладаккха	qʼəjlədəqːə		882	SEND	ашьҭра	ɑʃtʰrɑ			
942	DECEIVE	ӏexo	ʡexo		883	BRING	аагара	ɑːɡɑrɑ			
943	BETRAY	ледан	ledən	ver.leiten	884	ADD	ацҵара	ɑt͡sʰt͡sʼɑrɑ			
944	KILL	ден	den	tue.ten	885	GET	аҧшаара	ɑpʰʂɑːrɑ			
945	DWELL (LIVE, RESIDE)	даха	də̄xə		885	GET	архиара	ɑrχiɑrɑ			
946	WORK (ACTIVITY)	къахьега	qʼəʜeɡə		885	GET	аура	ɑurɑ			
947	GATHER	гулдан	ɡu͡ʊldən	gathr.tun	886	RECEIVE	аиура	ɑiurɑ			
948	PICK	даха	dəxə		887	TAKE	агара	ɑɡɑrɑ			
949	HUNT	талла	təlːə	jagt | tagl -- wtf	888	CHOOSE	алҧшаара	ɑlpʰʂɑːrɑ			
950	CATCH FISH	чӏерий леца	t͡ʃʼerɪɪ̆ let͡sə	pseri …:	889	SELECT	алхра	ɑlχrɑ			
951	CATCH (AN ANIMAL)	лаца	lət͡sə	lasso l'fetch	891	HINDER	аҧырхагахара	ɑpʰɨrχɑɡɑχɑrɑ			
951	CATCH (AN ANIMAL)	схьалаца	sʜələt͡sə		892	SPOIL (SOMEBODY OR SOMETHING)	алгара	ɑlɡɑrɑ			
952	HERD (CATTLE)	лардан	lərdən	l'herden	892	SPOIL (SOMEBODY OR SOMETHING)	абжьыхра	ɑbʒɨχrɑ			
953	DRIVE (CATTLE)	лахка	ləxkə		892	SPOIL (SOMEBODY OR SOMETHING)	аҧхасҭатəра	ɑpʰχɑstʰɑtʼərɑ			
954	TIE UP	дӏадехка	dʡədexkə		893	DAMAGE	аҧхасҭатəра	ɑpʰχɑstʰɑtʼərɑ			
955	FEED	хӏума яла	hu͡ʊmə jələ		894	BREAK (CLEAVE)	аҧҽра	ɑpʰʈ͡ʂʰrɑ			
956	DRAW MILK	оза	ōzə		895	SHRED	аҧжəара	ɑpʰʐəɑrɑ			
958	WATER (A PLANT)	хи тоха	xɪ toxə		896	DESTROY	аилаҧыххаара	áilɑpʰɨχχɑːrɑ			
959	RIPEN	хьекъа	ʜeqʼə		897	BURN (SOMETHING)	абылра	ɑbɨlrɑ			
960	COOK (SOMETHING)	кечъян	ket͡ʃʔjən		898	GIVE	аҭара	ɑtʰɑrɑ			
960	COOK (SOMETHING)	кхача бан	qət͡ʃə bən		899	PASS (SOMETHING)	аҭара	ɑtʰɑrɑ			
961	BOIL (SOMETHING)	кхача бан	qət͡ʃə bən		900	DONATE	аҩгара	ɑɥɡɑrɑ			
962	BAKE	датта	dətːə		901	PROMISE	ақəргəыӷра	ɑkʰərɡəɨʁrɑ			
963	FRY	кхарза	qərzə		903	PRAISE	арҽхəара	ɑrʈ͡ʂʰχəɑrɑ			
964	STIR (SOMETHING)	кего	keɡo		904	KISS	агəӡра	ɑɡəd͡zrɑ			
966	SEW	тега	teɡə		906	COVER (A CHILD)	аҵахҩара	ɑt͡sʼɑχɥɑrɑ			
967	DYE	басардан	bəsərdən		906	COVER (A CHILD)	ақəршəра	ɑkʰərʂərɑ			
968	CLEAN (SOMETHING)	цӏандан	t͡sʼəndən		907	WAKE	арҿыхара	ɑrʈʈ͡ʂʼɨχɑrɑ			
969	WASH	йила	jɪlə		908	SHOW	арбара	ɑrbɑrɑ			
969	WASH	йитта	jɪtːə		909	GUIDE (TO DESTINATION)	аныҟəгара	ɑnɨqʼəɡɑrɑ			
969	WASH	дӏадайа	dʡədəɪ̆ə		910	TEACH	арҵара	ɑrt͡sʼɑrɑ			
970	WIPE	дӏадайа	dʡədəjə		911	INSTRUCT	арҧхьара	ɑrpʰχʲerɑ			
971	RINSE	хи кхарза	xɪ qərzə		912	RAISE (A CHILD)	ааӡара	ɑːd͡zɑrɑ			
972	SWEEP	нуй хьакха	nu͡ʊɪ̆ ʜəqə		913	LEAD (GUIDE)	ахагылазаара	ɑχɑɡɨlɑzɑːrɑ			
973	SWEEP (SOMETHING)	нуй хьакха	nu͡ʊɪ̆ ʜəqə		914	URGE (SOMEONE)	арццакра	ɑrt͡sʰt͡sʰɑkʼrɑ			
974	BATHE	лийча	lɪɪ̆t͡ʃə	wash	915	CAUSE SOMEONE TO	арҟаҵара	ɑrqʼɑt͡sʼɑrɑ			
975	WASH (ONESELF)	юьхь йила	jyʜ ɪ̆ɪlə		916	INVITE	ааҕхьара	ɑːʁχʲerɑ			
976	TAKE OFF	духар дӏадаккха	du͡ʊxər dʡədəqːə		916	INVITE	анаҧхьара	ɑnɑpʰχʲerɑ			
978	DRESS UP	духа	du͡ʊ̄xə	drex	917	JOIN	аилаҵара	ɑilɑt͡sʼɑrɑ			
979	COMB (VERB)	ехк хьакха	exk ʜəqə	1 hexa	918	VISIT	абара	ɑbɑrɑ			
980	DECORATE	хаздан	xəzdən		919	ENCOUNTER	аҧылара	ɑpʰɨlɑrɑ			
981	SAY	ала	ələ		920	MEET	аизара	ɑizɑrɑ			
982	SPEAK	баха	bəxə	s'preche	921	PLAY	ахəмарра	ɑχəmɑrrɑ			
982	SPEAK	мотт бийца	motː bɪɪ̆t͡sə	mot bəxə 	922	SING	ашəаҳəара	áʂəɑħəɑrɑ			
983	TALK (TO SOMEONE)	къамел дан	qʼəmel dən	camel tun	923	DANCE	акəашара	ɑkʼəɑʂɑrɑ			
984	CHAT (ACTIVITY)	къамел дан	qʼəmel dən		924	PART WAYS	аилыҵра	ɑilɨt͡sʼrɑ			
985	ASK (INQUIRE)	хатта	xətːə		925	LEAVE (SOMEONE)	акажьра	ɑkʼɑʒrɑ			
986	ASK (REQUEST)	деха	dexə		926	RESCUE	Аиқəрхара	ɑikʰərχɑrɑ			
987	TELL	дийца	dɪɪ̆t͡sə	dice	927	GUARD (SOMEONE)	ахьчара	ɑχʲt͡ʃʰɑrɑ			
988	CONVEY (A MESSAGE)	хаам бан	xəəm bən	con ben	928	PROTECT	ацəыхьчара	ɑt͡sʰəɨχʲt͡ʃʰɑrɑ			
989	CALL BY NAME	цӏе яккха	t͡sʼe jəqːə		929	DEFEND	ахьчара	ɑχʲt͡ʃʰɑrɑ			
990	CALL	кхайкха	qəjqə	qalqe	930	BRAWL	аисра	ɑisrɑ			
991	BOAST	куралла ян	ku͡ʊrəlːə jən		931	SHOOT	ахысра	ɑχɨsrɑ			
991	BOAST	дозалла дан	dozəlːə dən		932	WIN	аиааира	ɑiɑɑirɑ			
992	TRANSLATE	гоч дан	ɡot͡ʃ dən	gothen	933	ANNOY	аргəаара	ɑrɡəɑɑrɑ			
993	THINK (REFLECT)	ойла ян	oɪ̆lə jən		934	BEAT	асра	ɑsrɑ			
994	BELIEVE	теша	tēʃə	denk	934	BEAT	аҭасра	ɑtʰɑsrɑ			
995	NOTICE	ган	ɡən		936	STING	алакшара	ɑlɑkʼʂɑrɑ			
996	RECOGNIZE	довза	dɔ͡ʊzə		937	SHOVE (SOMEONE)	агəҭасра	ɑɡətʰɑsrɑ			
997	UNDERSTAND	кхета	qetə	get-it	938	STEAL	аӡара	ɑd͡zɑrɑ			
998	UNDERSTAND (ACOUSTICALLY)	кхета	qetə		939	DISTURB (SOMEONE)	аҧырхагахара	ɑpʰɨrχɑɡɑχɑrɑ			
999	LEARN	деша	deʃə	teache	940	BOTHER	аргəамҵра	ɑrɡəɑmt͡sʼrɑ			
1000	KNOW (SOMETHING)	хаа	xəə	kaa	941	CONCEAL	аӡара	ɑd͡zɑrɑ			
1001	REMEMBER	дагадан	dəɡədən		942	DECEIVE	ажьара	ɑʒɑrɑ			
1002	FORGET	дицдала	dɪt͡sdələ		943	BETRAY	ажьара	ɑʒɑrɑ			
1003	MEASURE	дуста	du͡ʊstə		944	KILL	ашьра	ɑʃrɑ			
1004	COUNT	дагардан	dəɡərdən		945	DWELL (LIVE, RESIDE)	анхара	ɑnχɑrɑ			
1005	CALCULATE	лара	lərə	lehre	946	WORK (ACTIVITY)	аусура	ɑusurɑ			
1006	READ	еша	eʃə		947	GATHER	аҟəшəара	ɑqʼəʂəɑrɑ			
1007	PAINTING	сурт дилла	su͡ʊrt dɪlːə		948	PICK	аҿыршəара	ɑʈʈ͡ʂʼɨrʂəɑrɑ			
1008	DRAW (WITH PEN)	сурт дилла	su͡ʊrt dɪlːə		948	PICK	аҿыхра	ɑʈʈ͡ʂʼɨχrɑ			
1009	WRITE	яздан	jəzdən		949	HUNT	ашəарыцара	ɑʂəɑrɨt͡sʰɑrɑ			
1010	OWN	доладан	dolədən		950	CATCH FISH	аҧсыӡ икуеит	ɑpʰsɨd͡z ikʼuɛitʼ			
1011	BUY	эца	et͡sə		951	CATCH (AN ANIMAL)	акра	ɑkʼrɑ			
1012	SELL	дохка	doxkə		952	HERD (CATTLE)	арҳəра	ɑrħərɑ			
1013	PAY FOR	мах бала	məx bələ	march …	952	HERD (CATTLE)	ахьчара	ɑχʲt͡ʃʰɑrɑ			
1014	PAY	мах бала	məx bələ	make payl	953	DRIVE (CATTLE)	акацара	ɑkʼɑt͡sʰɑrɑ			
1015	RULE	собаре хила	sobəre xɪlə		954	TIE UP	адҳəалара	ɑdħəɑlɑrɑ			
1016	ENDURE	лан	lən	long	955	FEED	акырҿаҵара	ɑkʼɨrʈʈ͡ʂʼɑt͡sʼɑrɑ			
1016	ENDURE	сатоха	sətoxə	sit	956	DRAW MILK	ахьара	ɑχʲerɑ			
1016	ENDURE	садетта	sədetːə		957	CHOP	аҟəаҟəара	ɑqʼəɑqʼəɑrɑ			
					958	WATER (A PLANT)	аҵаҭəара	ɑt͡sʼɑtʰəɑrɑ			
					959	RIPEN	ашəра	ɑʂərɑ			
					959	RIPEN	аҟалара	ɑqʼɑlɑrɑ			
					960	COOK (SOMETHING)	ацура	ɑt͡sʰurɑ			
					961	BOIL (SOMETHING)	ажəра	ɑʐərɑ			
					962	BAKE	аӡра	ɑd͡zrɑ			
					963	FRY	аӡра	ɑd͡zrɑ			
					964	STIR (SOMETHING)	аилрыхра	ɑilrɨχrɑ			
					965	KNIT	аҧара	ɑpʰɑrɑ			
					966	SEW	аӡахра	ɑd͡zɑχrɑ			
					967	DYE	ашəра	ɑʂərɑ			
					968	CLEAN (SOMETHING)	арыцқьара	ɑrɨt͡sʰkʰʲerɑ			
					969	WASH	аӡәӡәара	ɑd͡ʑʷd͡ʑʷorɑ			
					970	WIPE	арбара	ɑrbɑrɑ			
					971	RINSE	аҭыршара	ɑtʰɨrʂɑrɑ			
					972	SWEEP	аҧссара	ɑpʰssɑrɑ			
					974	BATHE	аҽыкəабара	ɑʈ͡ʂʰɨkʼəɑbɑrɑ			
					975	WASH (ONESELF)	аҽыӡəӡəара	ɑʈ͡ʂʰɨd͡zəd͡zəɑrɑ			
					976	TAKE OFF	ашəыхра	ɑʂəɨχrɑ			
					977	PUT ON	ашəҵара	ɑʂət͡sʼɑrɑ			
					978	DRESS UP	аҽеилаҳəара	ɑʈ͡ʂʰɛilɑħəɑrɑ			
					979	COMB (VERB)	аҳəара	ɑħəɑrɑ			
					980	DECORATE	арҧшӡара	ɑrpʰʂd͡zɑrɑ			
					981	SAY	аҳəара	ɑħəɑrɑ			
					982	SPEAK	ацəажəара	ɑt͡sʰəɑʐəɑrɑ			
					983	TALK (TO SOMEONE)	ацəажəара	ɑt͡sʰəɑʐəɑrɑ			
					983	TALK (TO SOMEONE)	аицәажәара	ɑit͡ɕʷʰoʒʲʷørɑ			
					984	CHAT (ACTIVITY)	аицәажәара	ɑit͡ɕʷʰoʒʲʷørɑ			
					985	ASK (INQUIRE)	азҵаара	ɑzt͡sʼɑːrɑ			
					986	ASK (REQUEST)	аҳəара	ɑħəɑrɑ			
					987	TELL	аҳəара	ɑħəɑrɑ			
					988	CONVEY (A MESSAGE)	азыцҳара	ɑzɨt͡sʰħɑrɑ			
					989	CALL BY NAME	ахьӡҵара	ɑχʲd͡zt͡sʼɑrɑ			
					990	CALL	азҿыҭра	ɑzʈʈ͡ʂʼɨtʰrɑ			
					991	BOAST	аҽхəара	ɑʈ͡ʂʰχəɑrɑ			
					992	TRANSLATE	аиҭагара	áitʰɑɡɑrɑ			
					993	THINK (REFLECT)	азхəыцра	ɑzχəɨt͡sʰrɑ			
					994	BELIEVE	ахаҵара	ɑχɑt͡sʼɑrɑ			
					995	NOTICE	агəаҭара	ɑɡəɑtʰɑrɑ			
					996	RECOGNIZE	адырра	ɑdɨrrɑ			
					997	UNDERSTAND	аилкаара	ɑilkʼɑːrɑ			
					998	UNDERSTAND (ACOUSTICALLY)	аҳара	ɑħɑrɑ			
					999	LEARN	аҵара	ɑt͡sʼɑrɑ			
					1000	KNOW (SOMETHING)	адырра	ɑdɨrrɑ			
					1001	REMEMBER	агəаларшəара	ɑɡəɑlɑrʂəɑrɑ			
					1002	FORGET	ахашҭра	ɑχɑʂtʰrɑ			
					1003	MEASURE	ашəара	ɑʂəɑrɑ			
					1004	COUNT	аҧхьаӡара	ɑpʰχʲed͡zɑrɑ			
					1005	CALCULATE	аҳасабра	ɑħɑsɑbrɑ			
					1006	READ	аҧхьара	ɑpʰχʲerɑ			
					1010	OWN	амазаара	ɑmɑzɑːrɑ			
					1011	BUY	Аахəара	ɑːχəɑrɑ			
					1012	SELL	аҭира	ɑtʰirɑ			
					1013	PAY FOR	ахҭынҵара	ɑχtʰɨnt͡sʼɑrɑ			
					1013	PAY FOR	ашəара	ɑʂəɑrɑ			
					1014	PAY	ашəара	ɑʂəɑrɑ			
					1016	ENDURE	ачҳара	ɑt͡ʃʰħɑrɑ			
											
											
											
											
											
											
											
											
											
