		NE:Caspian 	NOT PIE!	2.1 Indo-European 2.2 Semitic 2.3 Turkic 2.4 Mongolic			NW:Pontic    	some PIE	ɨ < r	South:Kartvelian=Iberian>Georgian  	
190	CLAY	поппар	popːər		190	CLAY	анышəаҧшь	ɑnɨʂəɑpʰʃ		--	
191	SAND	гӏум	ɣu͡ʊm	gsamt	191	SAND	аҧслымӡ	ɑpʰslɨmd͡z	ɑpʰ  slimed sland sand		
192	PERSON	адам	ədəm	adam	192	PERSON	ауаҩы	ɑuɑɥɨ	aryan? адам?		
193	MAN	майра	məɪ̆rə	mortal	193	MAN	ахаҵа	ɑχɑt͡sʼɑ	<<		
194	WOMAN	зуда	zu͡ʊdə	<	194	WOMAN	аҧҳəыс	ɑpʰħəɨs	ɑpʰ Husche > Ische		
195	CHILD (YOUNG HUMAN)	бер	ber	puer	195	CHILD (YOUNG HUMAN)	ахəыҷы	ɑχəɨt͡ʃʼɨ	ɑ χəɨt͡ʃʼɨ ~ chi'dr		
					196	BOY	аҷкəын	ɑt͡ʃʼkʼəɨn	klein Kain		
196	BOY	жимха	ʒɪmxə	jeun?	196	BOY	ахаҵарҧыс	ɑχɑt͡sʼɑrpʰɨs			
197	GIRL	жима йоӏ	ʒɪmə joʡ	!	197	GIRL	аӡӷаб	ɑd͡zʁɑb	<<		
198	FAMILY	доьзал	døzəl	Dussel:)	198	FAMILY	аҭаацəа	ɑtʰɑːt͡sʰəɑ			
199	GRANDFATHER	ненада	nēnədə		199	GRANDFATHER	абду	ɑbdu	Abdul ;) Opa(dad)		
200	GRANDMOTHER	денана	denə̄nə	dame--	200	GRANDMOTHER	анду	ɑndu	Aunt, Ante => ancestor		
201	PARENTS	да-нана	də-nənə		201	PARENTS	ани аби	ɑni ɑbi	:		
202	FATHER	да	də	dad	202	FATHER	аб	ɑb	abba @SEM		
203	MOTHER	нана	nə̄nə	nun	203	MOTHER	ан	ɑn	anne @SEM		
204	SON	кӏант	kʼənt	con<	204	SON	аҧа	ɑpʰɑ	ɑpʰ heir, a boy --		
205	DAUGHTER	йоӏ	ɪ̆oʡ		205	DAUGHTER	аҧҳа	ɑpʰħɑ			
206	BROTHER	ваша	vəʃə	ваша ~ brotha	206	BROTHER	аиашьа	ɑiɑʃɑ	bu.raʃɑ ≠armin --		
207	SISTER	йиша	ɪ̆ɪʃə	ischa	207	SISTER	Аҳəшьа	ɑħəʃɑ	a sħəʃɑ sister		
208	UNCLE	деваша	devəʃə		208	UNCLE	абиашьа	ábiɑʃɑ	^Father		
					208	UNCLE	аншьа	ánʃɑ	Uncʃa		
209	AUNT	дейиша	dejɪʃə	an te	209	AUNT	абиаҳəшьа	ábiɑħəʃɑ			
210	HUSBAND	майра	məɪ̆rə	marie	210	HUSBAND	ахаҵа	ɑχɑt͡sʼɑ			
					210	HUSBAND	аҧшəма	ɑpʰʂəmɑ			
