No 	English 	Turkish 	Eurasian	Kyrgyz (Cyrillic) 	Mongolian (Cyrillic) 	Oroqen (IPA) 	Manchu (MT) 	Korean (RRK) 	Japanese (Hepburn romanization)
152	river 	ırmak 	bhitra bira kawa aqua	дарыя, өзөн 	гол 	bira 	bira ula 	nae 	kawa
153	lake 	göl 	Kuhle!	көл 	нуур 	amʊdʒi 	omo tenggin noor 	mos 	mizuumi
154	sea 	deniz 	DONac	деңиз 	далай, тэнгис 	dalay 	mederi namu 	bada 	umi
155	salt 	tuz 	Thyssand? <> tozan 1000-sand!	туз 	давс 	dɔ:sun, katagan 	dabsun 	sogeum 	shio
156	stone 	taş 	Dash T-s / s-t ++	таш 	чулуу 	dʒɔlɔ 	wehe 	dol 	ishi
157	sand 	kum 	Krüm.el ++	кум 	элс 	ʃirgi 	yonggan 	morae 	suna
158	dust 	toz 	Dust ++	чаң, тоз 	тоос 	tɔ:rag 	buraki 	meonji 	chiri hokori
159	earth 	toprak 	Terr.as +++	топурак 	дэлхий, товрог, этүгэн 	tʊkala 	na 	heulg 	tsuchi
160	cloud 	bulut 	Pquloud!! <<	булут 	үүл 	tukʃu 	tugi 	gureum 	kumo
161	fog 	sis, duman (smoke) 	dunst	туман 	манан, будан 	tamna 	talman 	angae 	kiri
162	SKY	gök! 	𓇯 𓎟 kak=all@	көк, асман 	огторгуй, хөх тэнгэр 	bʊwa 	abka 	haneul 	sora
163	wind 	yel 	Schumal <<	шамал, жел 	салхи 	ədin 	edun 	baram 	kaze
164	snow 	kar 	Kryo@kar ++	кар 	цас 	ɪmana 	nimanggi 	nun 	yuki
165	ice 	buz 	b’ice ++ m’ice	муз 	мөс 	umukʃu 	juhe 	eoleum 	koori
166	smoke 	duman, tütün 	dunst	түтүн 	утаа 	ʃaŋŋan 	šanggiyan 	nae 	kemuri
167	fire 	od 	HOT!!	от 	гал 	tɔɣɔ 	tuwa 	Bul < burn	Hi <> hotuwa
168	ash 	kül 	gülle?	күл 	үнс 	uləptən 	fulenggi 	jae 	hai
169	to burn (v.i.) 	yan- 	koch++  sHot …	күйгүз-, өрттө- 	шатах 	dalga- 	deiji- 	ta- 	moe-
170	road 	yol 	jallah	жол 	зам 	ɔktɔ 	jugūn 	gil 	michi
171	mountain 	dağ 	Dağ <> dar / tai = tall	тоо 	уул, таг 	urə 	alin 	me eondeog ('slope, incline; hill') 	yama
172	red 	al, kızıl 	KIRSCH.al ++	кызыл 	улаан 	ʊla:rɪn 	fulgiyan 	bulg- ppalgah- 	aka
173	green 	yeşil 	yelSAR	жашыл 	ногоон 	tʃuturin 	niowanggiyan 	pureu-/pureur-, parah- 	midori
174	yellow 	sarı 	sarı™ sar=green 	сары 	шар 	ʃɪŋarɪn 	suwayan 	norah- 	ki
175	white 	ak 	ash!	ак 	цагаан 	bagdarɪn 	šanyan 	hui- 	shiro
176	black 	kara 	char.a	кара 	хар 	kɔŋnɔrɪn 	sahaliyan 	geom- 	kuro
177	night 	gece 	<> gök!  𓐍𓆼	түн 	шөнө 	dɔlbɔ 	dobori 	bam 	yoru yo
178	day 	gün 	<> sun	күн 	өдөр 	inəŋ 	inenggi 	nal ('day,	
