№ ,English word ,Simplified,Pinyin ,PIE,NOTE,Traditional Chinese ,Simplified Chinese,POS ,IPA ,,,,,,,,,,,,,,,,
99,breathe ,呼吸,hūxī ,,<,呼吸 ,呼吸,verb ,xu˥˥ɕi˥˥ ,,,,,,,,,,,,,,,,
100,laugh ,笑,xiào ,,,笑 ,笑,verb ,ɕiɑu˥˩ ,,,,,,,,,,,,,,,,
101,see ,看,kàn ,Kamera –,,看 ,看,verb ,kʰan˥˩ ,,,,,,,,,,,,,,,,
102,hear ,听,tīng ,ding,<,聽 ,听,verb ,tʰiŋ˥˥ ,,,,,,,,,,,,,,,,
103,know ,知道 xiǎode ,zhīdào ,si.denk,+,知道 ,知道 xiǎode ,verb ,tʂʐ˥˥tau˥˩ ,ɕiɑu˨˩tə ,,曉得 ,晓得 rènshi ,ʐən˥˩ʂʐ ,to recognize ,認識 ,认识,,,,,,,,
104,think ,想,xiǎng ,心,+,想 ,想,verb ,ɕiɑŋ˨˩˦ ,,,,,,,,,,,,,,,,
105,smell ,嗅 wén ,xiù ,,,嗅 ,嗅 wén ,verb ,ɕiou˥˩ ,uən˧˥ ,,聞 ,闻,,,,,,,,,,,,
106,fear ,怕,pà ,,~,怕 ,怕,verb ,pʰa˥˩ ,,,,,,,,,,,,,,,,
107,sleep ,睡 shuìjiào ,shuì ,,~,睡 ,睡 shuìjiào ,verb ,ʂuei˥˩ ,ʂuei˥˩tɕiɑu˥˩ ,,睡覺 ,睡觉,,,,,,,,,,,,
108,live ,活,huó ,< fire?,<,活 ,活,verb ,xuɔ˧˥ ,,,,,,,,,,,,,,,,
109,die ,死,sǐ ,siech,~,死 ,死,verb ,sɨ˨˩˦ ,,,,,,,,,,,,,,,,
110,kill ,杀,shā ,cut,?,殺 ,杀,verb ,ʂa˥˥ ,,,,,,,,,,,,,,,,
111,fight ,吵架 dǎjià ,chǎojià ,,argue,吵架 ,吵架 dǎjià ,verb ,tʂʰɑu˨˩tɕia˥˩ ,ta˨˩tɕia˥˩ ,fists ,打架 ,打架 dǎzhàng ,ta˨˩tʂɑŋ˥˩ ,war ,打仗 ,打仗,,,,,,,,
112,hunt ,打猎,dǎliè ,,,打獵 ,打猎,verb ,ta˨˩liɛ˥˩ ,,,,,,,,,,,,,,,,
113,hit ,打,dǎ ,Dan! = stick/do,𓂡!,打 ,打,verb ,ta˨˩˦ ,,,,,,,,,,,,,,,,
114,cut ,割 qiē ,gē ,cut in two,~-,割 ,割 qiē ,verb ,kɤ˥˥ ,tɕʰiɛ˥˥ ,slice ,切 ,切 jiǎn ,tɕiɛn˨˩˦ ,scissors ,剪 ,剪,,,,,,,,
115,split ,劈开 lièkāi ,pīkāi ,≠ piek,,劈開 ,劈开 lièkāi ,verb ,pʰi˥˥kʰai˥˥ ,liɛ˥˩kʰai˥˥ ,intransitive split open ,裂開 ,裂开 fēnkāi ,fən˥˥kʰai˥˥ ,split up ,分開 ,分开,,,,,,,,
116,stab ,刺,cì ,cess,,刺 ,刺,verb ,tsʰɨ˥˩ ,,,,,,,,,,,,,,,,
117,scratch ,搔 zhuā ,sāo ,,~,搔 ,搔 zhuā ,verb ,sɑu˥˥ ,tʂua˥˥ ,,抓 ,抓,,,,,,,,,,,,
118,dig ,挖 jué ,wā ,,,挖 ,挖 jué ,verb ,ua˥˥ ,tɕyɛ˧˥ ,,掘 ,掘,,,,,,,,,,,,
119,swim ,游泳,yóuyǒng ,,+<,游泳 ,游泳,verb ,iou˧˥yʊŋ˨˩˦ ,,,,,,,,,,,,,,,,
