No. 	English 	Standard Eastern Armenian հայերեն (hayeren) 	Transcription (հh:P WT:HY TR) 	IPA pronunciation	cognate less PIE than ‘Kartvelian’ !	OK?	Egyptian match	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!	𒌋	NOT Elamite 	
57	root 	արմատ 	armat 	ɑɾˈmɑt	aromat am’root?	<+	𓏱?	𓍯 𓄿 𓃀 𓆰, 𓏠𓈖𓇋𓇋𓏏𓆱, 𓆱𓇛, 𓇡 			
58	bark (of a tree) 	կեղեւ 	kełew 	kɛˈʁɛv	kɛˈʁɛv  barkar@slov	+++					
59	flower 	ծաղիկ 	całik 	t͡sɑˈʁik	PIE  ǵl̥h₂ ծաղր (całr)	<?NL	𓊃 𓈙 𓈖 𓆸 NL	𓆸 ⋍ 𓆹, 𓊃 𓈙 𓈖 𓆸,  𓇇𓆰, 𓇬𓈖𓃀, 𓃹𓈖𓃀𓆰, 𓁷 𓂋 𓂋 𓏏 𓆰, 	𒈪𒅅𒆠	mi-ik-ki	
60	grass 	խոտ 	xot 	χɔt	xnit cut growth grass	<+?	𓁸  𓏥 ?	𓁸  𓏥  2.  𓍲 𓈖 𓏌 𓏲 𓁸, 𓍲 𓈖 𓏮 𓁸 𓏥 	𒄑𒅔™	NGIŠ.IN.lg	
61	rope 	պարան 	paran 	pɑˈɾɑn	para~rope +* 𓁷 𓏤 𓍢 pre- prend 𓂝 𓎛 𓍢 ?	OK??	𓁷 𓏤 𓍢	𓁷 𓏤 𓍢, 𓂝 𓎛 𓍢, 𓇋 𓎛 𓍢, 𓍱 𓋴 𓍢 2. 𓈖 𓍇 𓏌 𓅱 𓎛 𓍢 	𒊮𒈠?, 𒊮𒈣?	šama	
62	skin 	մաշկ, կաշի 	mašk, kaši 	mɑʃk, kɑˈʃi	mask ma.skin Muska™ 𒋢𒎌 KUŠ.MEŠ kosher case	++++	𓄟 𓋴 𓂓 𓄛, 𒋢𒎌	𓄛, 𓄚 𓈖 𓏏 𓄛, 𓄞 𓂧 𓅱, 2. 𓂧 𓂋 𓄛 3. 𓄟 𓋴 𓂓 𓄛 4. 𓃀 𓅡 𓄇 𓄛  	𒄩𒁷,𒋢𒎌	ha-tin, KUŠ.MEŠ	
63	meat 	միս 	mis 	mis	meath@ural+	+++	ᵐi-iš-ti !?	𓄹, 𓇋 𓆑 𓄻 𓏥, 𓇋 𓅱 𓆑 𓄹 𓄹 𓄹  2. 𓄿 𓈙 𓂋 𓄹, 𓅨 𓂋 𓇋 𓄹	𒄿𒅖𒋾	i-iš-ti	
64	blood 	արյուն 	aryun 	ɑɾˈjun	Aryan <>  血 xuèn 𓊃 𓈖 𓆑 𓅱 𓂐 	!!	𓂋𓂧𓈙𓅱𓏯 archien	𓂐, 2. 𓂧 𓈙 𓂋 𓂐, 𓂧 𓈙 𓂋 𓅱 𓏯 3. 𓊃 𓈖 𓆑 𓅱 𓂐	𒊓𒀭	sa-an	
65	bone 	ոսկոր 	oskor 	vɔsˈkɔɾ	osceo® boskor 𓄋 𓊪 𓏲 <> bark?	<+++	𓋴 𓈎 𓌟 ≈?	𓈎 𓋴 𓌟 2. 𓄹,𓄺, 𓄻 , 𓌟 𓏤			
66	fat (noun) 	ճարպ 	čarp 	t͡ʃɑɾp	carbon, carne?  𓆓 𓂧 𓂉 χειρό-appu 𓂉 Bug	<++™!	𓆓 𓂧 𓂉	𓎙 𓂧 𓏌 𓏥, 𓎙 𓆓 𓊌 𓏥, 𓂝 𓆓 𓎙 𓏌 𓏥 2.  𓄞 𓂧 𓐏, 𓆓 𓂧 𓂉,  𓆓 𓂧 𓄿 𓄃,  3. 𓈎 𓈖 𓐎  4. 𓄡 𓊪 𓈖 𓃾 …	𒄑𒉌, 𒀊𒉿	NGIŠ.Ì.lg, ap-pi	
67	egg 	ձու 	ju 	d͡zu	egju yolk  鸡蛋jīdàn  d͡zun jaune yumurta 𓆇𓅐𓏱 	<+++	𓋴 𓅱 𓎛 𓆇 𓐎 •shuhⁿ	𓏏 𓏥, 𓋴 𓅱 𓎛 𓏏 𓆇 𓐎			
68	horn 	եղջյուր, պոզ 	ełǰyur, poz 	jɛʁd͡ʒˈjuɾ, pɔz	al’jiǎor 角 khorn qars 𓄋 𓊪 𓏲 𓏏 pɔz bocks spitze 	<+++™	𓄋 𓊪 𓏲 𓏏 pɔz	𓄏 𓏤, 𓎛 𓆰 𓈖𓄏, 𓎛 𓆱 𓈖 𓏌 𓏏 2. 𓂧 𓃀 𓄏 , 𓂝 𓃀 𓄏 𓏤	𒋡𒊍𒋢	qa-as-su	
69	tail 	պոչ 	počʿ 	pɔt͡ʃʰ	posterior +++ GePuschel :) 	ok?	𓐍 𓃀 𓋴 𓇋 𓇋 𓄢  	1. 𓄜 2. 𓋴 𓂧 𓄢 3. 𓐍 𓃀 𓋴 𓇋 𓇋 𓏏 𓏥 , 𓐍 𓃀 𓊃 𓏏 𓄢  			
70	feather 	փետուր 	pʿetur 	pʰɛˈtuɾ	pʰɛˈtuɾ✔	+++	𓆅 𓏏 𓏤 𓁸 !	𓆄 𓅱 𓏏 𓁸 2. 𓆅 𓏏 𓏤 𓁸			
71	hair 	մազ 	maz 	mɑz	Matte ;) << 毛 mausern ++	ok?	ma.še	 𓎛, 𓁸𓏥, 𓍲 𓈖 𓏌 𓏲 𓁸, 𓍲 𓈖 𓏮 𓁸 𓏥, 𓃀 𓎡 𓎡 𓁸, 𓃀 𓂓 𓁸 	𒊺	še-	
72	head 	գլուխ 	glux 	ɡəˈluχ	√look? Glocke 🔔 c'lus << cephalus ?	<>	glux??  	𓁶 𓊪, 𓁶 𓏤, 2. 𓁷 𓂋 𓇯 𓀀	𒊌𒆪	uk-ku	
73	ear 	ականջ 	akanǰ 	ɑˈkɑnd͡ʒ	Ohrgan << cd͡ʒn <> a-kennen?	!!!™	𓇋 𓂧 𓈖 𓄔 𓂡 ?	1.𓄔 2.𓄕 3.𓂈 𓏤         1. 𓄟 𓋴 𓇥 𓂋 𓄔 2. 𓇋 𓂧 𓄔 3. 𓇥 𓂋 𓆓 𓄔	𒋛𒊑	si-ri	
74	eye 	աչք 	ačʿkʿ 	ɑt͡ʃʰkʰ	Aug' Auge ačʿkʿ occul otchk!	+++	𓁹 𓏏 𓏮 eyti	1a. 𓁹 1b. 𓂝 𓈖 𓁹 2. 𓁹 𓏏 𓏮 , 𓅜 𓐍 𓏏 𓁻, 𓋹 𓈖 𓐍 𓏏 𓂀  	𒂖;𒂖𒋾	el; el-ti	
75	nose 	քիթ 	kʿitʿ 	kʰitʰ	kitty?  𒅯 KA x KAK хъехъв qeqʷ  𒅗 kiri₃ ცხვირი cxviri 	!??™	𓂊 𓂉 ? 𓈙 𓂋 𓏏 𓂉 𓄹 crit?	𓂊, 𓂉 𓏤, 𓈙 𓂋 𓏏 𓂉 𓄹, 𓆑 𓈖 𓂧 𓂉, 𓆑 𓈖 𓆓 𓐩 𓂉	??	*šim-	
76	mouth 	բերան 	beran 	bɛˈɾɑn	𓃀 𓍢 𓇩 𓂋 front  𓅮 𓂋	<++™	𓅮 𓂋	𓂋			
77	tooth 	ատամ 	atam 	ɑˈtɑm	a’dent ~-	~++	𓄑 𓏤 Zahm	1. 𓄑 𓏤, 1b. 𓍿 𓊃 𓏏 𓄑 2. 𓇋 𓃀 𓎛 𓄑 𓏤 3. 𓈖 𓅘 𓎛 𓂧 	𒋛𒄴𒄩	si-h-haⁿ	
78	tongue (organ) 	լեզու 	lezu 	lɛˈzu	lingzua  𓈖 𓄓 𓋴 𓄻 NL?	~++	𓄓?	𓄓, 𓄓 𓄻 𓏤, 𓈖 𓄓 𓋴 𓄻, 𓈖 𓄓 𓋴 𓄻 2. 𓊃 𓈖 𓎡 𓄓, 𓊃 𓈖 𓎡 𓄓 2b. 𓈙 𓋴 𓐟 𓄿 𓅱 𓄓 𓏤 2c. 𓍱 𓊃 𓂋 𓄓	𒋾𒌓	ti-ut	
