 No 	English 	Oroqen (IPA) 	PIE – NO?	Manchu (MT) very different vocab	Altaic? Turk?	Turkmen 	Aryan		Hungarian = corrupted PIE/Turk	Best Uralic	Eurasian
136	to throw 	garʊnda:- 		makta- waliyabu-	<>	atmak 	hit^ dash? Test? Thrush<	^	dob 		
137	to tie 	u:yi-, ərkə- 	hu.tie	huthu- hūwaita-		baglamak 	bügl;) bandg	<	köt 		knot cord kittel^, sa’um
138	to sew 	uli:- 		ufi-	--	tikmek 	Tack! Stick ++	✓~	varr 		werf amend 𓈖 Naht ^^'
139	to count 	taŋ- 	tell	tolo-	+++ <>	sanamak 	∑ Sana+шут  coundo ++ 	✓✓	számol 	számol	∑ sum! Sumary, lucky luke???
140	to say 	un-, gun- 	< ~count	hendu- gisure- se-	< -	diýmek 	Disay~ 第zähl ~count ~сана total !!	✓✓	mond szól 	mond sanoa	Mund > mot sayn soner sound! 
141	to sing 	dʒa:nda- 	chant ukulele	ucule-	++ ;)	saýramak 	sayr choir ~söy~sell! Syra𓇗 chmer𓇗! 	✓✓ 𓇗 	énekel, da’lol 	laulaa 	lala;) jaul  énekel=eunuchen
142	to play 	əwi- 		efi-		oýnamak 	𓏠! joý-n-m-k / g-m-n  <> jaz	✓<	Játsz.ik 	pelata játszik	Play jazz jeux joy joice (bala)leika, (p)leasure
143	to float 	kəpə:n- 		dekde-		ýüzmek 	Fließ 覆流, ýüz 雨溢yi … pildi	✓<	lebeg, úsz.ik 	lebeg, úszik	levit, úswim, keiluo??
144	to flow 	əyə:- 	aqua	eye-	Turk	akmak 	aqua++	✓~	Foly.ik 	Foly < virrata	Flow < fähr!
145	to freeze 	dɔŋɔtɔ- 		gece- juhe jafa-		şatlamak, doňdurmak 	settle-- dura	✓~?	fagy 	fagys	
146	to swell 	awul 		aibi- dukdure-		çişmek 	шиши swell!!	<	dagad duzzad 	paizota 	pustel
147	sun 	dɪlatʃa, ʃiwun 	šun	šun	+++!!!	gün 	Gün šun ʃiwun SUN / HEL 	✓✓✓	Nap <>  нєбо 	Päivke ??	Nobel 𓋞 𓋟𓋠 Ши / Pyro?!! !!!!!!??
148	moon 	bɛga 	biga=God/Amon	biya	!!!	aý 	IAH 月 lun al.ай moon ma.ай biga:god!?	✓ AI Ia al.aun	hold 	kuu 𓐍!!	𓐍 Cold 🌔 Kugel? Kyue schöne hühne
149	star 	ɔʃɪkta 	sktar	usiha	~ 	ýyldyz 	<> gild! Gold, celt, kult, glitter	~	csillag 	теште	te’stern *** the’astrali (plural)
150	water 	mu: 	mwuca 	muke	Turk/PIE	suw 	suwater <> 𓋴𓅨𓂋 水 shuǐ!! mwuca 	✓<	víz 	vezi 	Wässer < obe.ti (plural)
151	rain 	tigdə 	aqua	aga	Turk	ýağış 	yaquas 雨 ýağ.os	<✓✓	eső (noun) 	sataa 𓎛𓀝𓇋𓇋𓏏𓈗	schütt! 𓇲𓂍𓁿  
152	river 	bira 	> folyó 	bira ula	<<	derýa 	Sur-darja hvyter雨™ See 水	✓~<	jó (archaic), folyó 	folyó 	FLOW YU!  yong 涌泳水沿江 … Лей ~ lake
153	lake 	amʊdʒi 		omo tenggin noor		köl 	Kuhle!	✓	Tó > thoe > see		Лей ^^ river ~~~ järvi riväj
154	sea 	dalay 	da.lake <> deňiz 	mederi namu	+?	deňiz 	DONac™	✓	Tenger @ Tangir!	meri 	Meer ++ tangent?
155	salt 	dɔ:sun, katagan 		dabsun		duz 	du.sal.de <> tozan 1000-sand!	✓	só 	só, suola	salt
156	stone 	dʒɔlɔ 	daş.al <> salt	wehe		daş 	Dash T-s / s-t ++	✓✓✓	kő 	<<>>	𓊌  rokő రాయి (rāyi) கல் (kal) Kiesel core?
157	sand 	ʃirgi 		yonggan	~<	gum; çäge 	Krume, Krüm.el ++	✓	Homok ≠ Humus		…
