 № 	English 	Chuvash 	Aryan		Turkmen 	Yakut 	Tuvan 	Khakas 	Standard Altai 	Tatar 	Bashkir 	Karachay-Balkar 	Kazakh 	Kyrgyz 	Uzbek 	Uyghur 	Turkmen 	Azerbaijani 	Turkish 	Crimean Tatar 	Karakhanid
59	flower 	чечек, çеçке 	Sisilk << çiçək	<	gül 	сибэкки; чэчик (rare?) 	чечек 	чахаях, порчо 	чечек 	чәчәк, гөл 	сәскә 	гокка (ханс), гюл 	гүл, шешек 	гүл 	gul, (chechak) 	chichek, gül 	gül 	çiçək, gül 	çiçek 	çiçek 	جَجَكْ‎ (čeček)
60	grass 	курăк 	cUT		ot 	от 	оът 	от 	öлöн 	үлән 	үлән 	ханс 	от, шөп 	чөп, от 	oʻt, oʻlan 	ot, chöp 	ot 	ot 	ot 	ot 	اُتْ‎ (ot)
61	rope 	вĕрен, пăяв, çип 	𓎛 бау tanar TAU++ ip 𓎛 	🗸🗸	tanap, ýüp; urgan (thick) 	быа; 	хендир, чеп, аркан, баг 	пағ, арғамӌы 	буу, армакчы 	бау, аркан 	бау 	джыджым, джиб 	жiп, арқан 	жип, аркан 	arqon, ip, bog' 	arqan 	tanap, ýüp; urgan (thick) 	ip 	ip; urgan (thick) 	arqan, yip, sıcım 	يِبْ‎ (yïp), اُرُقْ‎ (uruq)
62	skin (human) 	тир 	derma++	🗸🗸	deri (animal); ham (human) 	тирии 	кеш, алгы (animal) 	теер 	тере 	тире 	тире 	тери 	терi 	тери 	teri 	tére 	deri (animal); ham (human) 	dəri 	deri 	teri 	تَرٖى‎ (terī)
63	meat (as in flesh) 	аш, какай 	meat! (m)эт eat	🗸	et 	эт 	эът 	ит 	эт 	ит 	ит 	эт 	ет 	эт 	goʻsht; et 	gösh; et 	et 	ət 	et 	et 	اَتْ‎ (et)
64	blood 	юн 	sang!	🗸	gan 	хаан 	хан 	хан 	кан 	кан 	ҡан 	къан 	қан 	кан 	qon 	qan 	gan 	qan 	kan 	qan 	قانْ‎ (qān)
65	bone 	шăмă 	сööк<>gök™ ?		süňk 	уҥуох 	сөөк 	сööк 	сööк 	сөяк 	һөйәк 	сюек 	сүйек 	сөөк 	suyak 	söngek 	süňk 	sümük 	kemik 	kemik, süyek 	سُنْكُكْ‎ (süŋük)
66	fat (noun) 	çу 	yog(hurt)	🗸	yağ 	сыа 	үс, чаг 	чағ, симiс, ӱс 	ӱс, jay 	май 	май 	джау 	май 	май 	yogʻ, moy 	yagh, may 	yağ 	yağ 	yağ 	yağ, may 	ياغْ‎ (yāɣ), اُزْ‎ (ǖz), جِرْ‎ (čïr)
67	egg 	çăмарта 	<< ¬murt?		ýumurtga 	сымыыт 	чуурга 	нымырха 	jымртка 	йомырка 	йомортҡа 	гаккы 	жұмыртқа, тұқым (dialect) 	жумуртка 	tuxum, yumurtqa 	tuxum 	ýumurtga 	yumurta 	yumurta 	yımırta 	يُمُرْتْغا‎ (yumurtɣā)
68	horn 	мăйрака 	𓏠 𓈖 𓃒 𓏥 menges / şah (Pers.) 	🗸🗸	şah (Pers.) 	муос 	мыйыс 	мӱус 	мӱӱс 	мөгез 	мөгөҙ 	мюйюз 	мүйiз 	мүйүз 	шох, (muguz) 	münggüz 	şah (Pers.) 	buynuz 	boynuz 	müyüz, boynuz 	مُنْكُزْ‎ (müŋüz)
69	tail 	хӳре 	Curück! <> curl?	🗸	guýruk 	кутурук 	кудурук 	хузурух 	куйрук 	койрык 	ҡойроҡ 	къуйрукъ 	құйрық 	куйрук 	dum, (quyruq) 	quyruq 	guýruk 	quyruq 	kuyruk 	quyruq 	قُذْرُقْ‎ (quδruq)
70	feather (rather not down) 	тĕк 	tail! toll@ural	🗸	ýelek 	түү, куорсун 	чүг 	чӱг 	jун 	каурый 	ҡаурый 	тюк 	жүн, қауырсын 	жүн 	jun, tuk, pat 	pey 	ýelek 	tük 	tüy, yün (wool) 	tük 	يُوكْ‎ (yǖg), تُو‎ (tǖ, “hair”)
71	hair 	çӳç 	sack, tolle	🗸	saç, tüý, gyl 	баттах, ас, түү; кыл (horse’s) 	чаш, дүк; хыл 	сас, хыл 	чач; кыл (single) 	чәч, кыл 	сәс 	чач, тюк 	шаш, түк, қыл 	чач 	soch, qil; yol (horse’s) 	chach; tük, qil 	saç, tüý, gyl 	saç, qıl (on body) 	saç, kıl (on body) 	saç, qıl (on body) 	سَجْ‎ (sač), قِلْ‎ (qïl), تُو‎ (tǖ)
72	head 	пуç 	boss! Kopf++ TOP!	🗸	baş 	төбө, бас 	баш 	пас 	баш 	баш 	баш 	баш 	бас 	баш 	bosh 	bash 	baş 	baş 	baş 	baş 	بَشْ‎ (baš)
73	ear 	хăлха 	Khores ++	🗸	gulak 	кулгаах 	кулак 	хулах 	кулак 	колак 	ҡолаҡ 	къулакъ 	құлақ 	кулак 	quloq 	qulaq 	gulak 	qulaq 	kulak 	qulaq 	قُلَقْ‎ (qulaq), قُلْقاقْ‎ (qulqaq)
74	eye 	куç 	gaze ogeyes!	🗸🗸	көз 	харах 	карак 	харах 	кöс 	күз 	күҙ 	кёз 	көз 	көз 	koʻz 	köz 	көз 	göz 	göz 	köz 	كُوزْ‎ (kȫz)
75	nose 	сăмса 	hana~nasha  burun?		burun 	мурун, мунну 	думчук 	пурун, тумзух, тунӌух 	тумчук,murïn,мурун 	борын 	танау 	бурун 	мұрын 	мурун 	burun 	burun 	burun 	burun 	burun 	burun 	بُرُنْ‎ (burun)
76	mouth 	çăвар 	𓂋 !!! am/OS << agyz	🗸	agyz 	айах 	аас 	аас 	оос 	авыз 	ауыҙ 	аууз 	ауыз 	ооз 	ogʻiz 	aghiz 	agyz 	ağız 	ağız 	ağız 	اَغِزْ‎ (aɣïz)
77	tooth (rather not molar) 	шăл 	Teeth +++	🗸🗸	diş 	тиис 	диш 	тiс 	тиш 	теш 	теш 	тиш 	тiс 	тиш 	tish 	chish 	diş 	diş 	diş 	tiş 	تٖىشْ‎ (tï̄š)
78	tongue 	чĕлхе 	D << ++ del	🗸	dil 	тыл 	дыл 	тiл 	тил 	тел 	тел 	тил 	тiл 	тил 	til 	til 	dil 	dil 	dil 	til 	تِلْ‎ (tïl)
79	fingernail 	чĕрне 	tir.nagel	🗸	dyrnak 	тыҥырах 	дыргак 	тырғах 	тырмак 	тырнак 	тырнаҡ 	тырнакъ 	тырнақ 	тырмак 	tirnoq 	tirnaq 	dyrnak 	dırnaq 	tırnak 	tırnaq 	تِرْنْغَقْ‎ (tïrŋaq)
80	foot 	ура 	bethe bal al.gan 𓃀 JAGe	🗸🗸!	aýak 	атах 	даван, тавангай, бут 	азах 	ayaq 	аяк 	аяҡ 	аякъ 	аяқ 	аяк 	oyoq 	ayaq 	aýak 	ayaq 	ayak, taban (sole of a foot) 	ayaq 	اَذَقْ‎ (aδaq)
81	leg 	пĕçĕ 	bacak! 𓃀 бот +++	🗸🗸	aýak 	буут (thigh, leg) 	бут, дөңмек (thigh) 	азах; бут (thigh) 	бут 	бот 	бот 	бут 	аяқ, бұт 	бут 	oyoq, put 	put 	aýak 	qıç 	bacak (Pers.), but (thigh) 	bacaq 	بُوتْ‎ (būt)
82	knee 	чĕр куççи 	térd@hun 	~	dyz 	тобук 	дискек 	тiзек 	тизе 	тез 	тубыҡ 	тобукъ 	тiзе 	тизе 	tizza 	tiz 	dyz 	diz 	diz, dirsek (elbow), topuk (heel) 	tiz 	تٖيزْ‎ (tīz)
83	hand 	алă 	Elle  qoʻl << Garbel	~	el 	илии 	хол 	хол 	кол 	кул 	ҡул 	къол 	қол 	кол 	qoʻl 	qol 	el 	əl 	el, kol (arm) 	el 	اَلِكْ‎ (elig)
